LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1752701128.568224,405157.000,65040,2,MX,1,100,-98
1752701128.608224,405197.000,65057,3,MX,1,100,-98
1752701128.648224,405237.000,65057,3,MX,1,100,-99
1752701128.688224,405277.000,65057,3,MX,1,100,-98
1752701128.728224,405317.000,65072,2,MX,1,100,-99
1752701128.768224,405357.000,65072,2,MX,1,100,-99
1752701128.807975,405396.750,65095,4,MX,1,100,-99
1752701128.847725,405436.500,65095,4,MX,1,100,-99
1752701128.887475,405476.250,65095,4,MX,1,100,-99
1752701128.927225,405516.000,65095,4,MX,1,100,-98
1752701128.967558,405556.333,65113,3,MX,1,100,-100
1752701129.007892,405596.667,65113,3,MX,1,100,-99
1752701129.048225,405637.000,65113,3,MX,1,100,-99
1752701129.088225,405677.000,65130,2,MX,1,100,-100
1752701129.128225,405717.000,65130,2,MX,1,100,-99
1752701129.167892,405756.667,65147,3,MX,1,100,-99
1752701129.207559,405796.333,65147,3,MX,1,100,-99
1752701129.247225,405836.000,65147,3,MX,1,100,-100
1752701129.287726,405876.500,65166,2,MX,1,100,-100
1752701129.328226,405917.000,65166,2,MX,1,100,-100
1752701129.367892,405956.667,65180,3,MX,1,100,-101
1752701129.407559,405996.333,65180,3,MX,1,100,-101
1752701129.447226,406036.000,65180,3,MX,1,100,-100
1752701129.487226,406076.000,65198,2,MX,1,100,-101
1752701129.527226,406116.000,65198,2,MX,1,100,-101
1752701129.567226,406156.000,65216,3,MX,1,100,-99
1752701129.607226,406196.000,65216,3,MX,1,100,-101
1752701129.647226,406236.000,65216,3,MX,1,100,-102
1752701129.687226,406276.000,65233,2,MX,1,100,-99
1752701129.727226,406316.000,65233,2,MX,1,100,-100
1752701129.767560,406356.333,65249,3,MX,1,100,-100
1752701129.807893,406396.667,65249,3,MX,1,100,-101
1752701129.848227,406437.000,65249,3,MX,1,100,-100
1752701129.887727,406476.500,65267,2,MX,1,100,-101
1752701129.927227,406516.000,65267,2,MX,1,100,-100
1752701129.967227,406556.000,65283,3,MX,1,100,-101
1752701130.007227,406596.000,65283,3,MX,1,100,-101
1752701130.047227,406636.000,65283,3,MX,1,100,-100
1752701130.087227,406676.000,65302,3,MX,1,100,-99
1752701130.127227,406716.000,65302,3,MX,1,100,-101
1752701130.167227,406756.000,65302,3,MX,1,100,-100
1752701130.207227,406796.000,65318,2,MX,1,100,-102
1752701130.247227,406836.000,65318,2,MX,1,100,-102
1752701130.287228,406876.000,65338,3,MX,1,100,-101
1752701130.327228,406916.000,65338,3,MX,1,100,-100
1752701130.367228,406956.000,65338,3,MX,1,100,-100
1752701130.407728,406996.500,65354,2,MX,1,100,-100
1752701130.448228,407037.000,65354,2,MX,1,100,-99
1752701130.487895,407076.667,65372,3,MX,1,100,-99
1752701130.527561,407116.333,65372,3,MX,1,100,-101
1752701130.567228,407156.000,65372,3,MX,1,100,-101
1752701130.607228,407196.000,65388,2,MX,1,100,-101
1752701130.647228,407236.000,65388,2,MX,1,100,-101
1752701130.687228,407276.000,65405,3,MX,1,100,-101
1752701130.727228,407316.000,65405,3,MX,1,100,-102
1752701130.767229,407356.000,65405,3,MX,1,100,-100
1752701130.807229,407396.000,65422,2,MX,1,100,-101
1752701130.847229,407436.000,65422,2,MX,1,100,-102
1752701130.887229,407476.000,65439,3,MX,1,100,-101
1752701130.927229,407516.000,65439,3,MX,1,100,-101
1752701130.967229,407556.000,65439,3,MX,1,100,-102
1752701131.007229,407596.000,65457,2,MX,1,100,-102
1752701131.047229,407636.000,65457,2,MX,1,100,-101
1752701131.082563,407671.333,65472,3,MX,1,100,-101
1752701131.117896,407706.667,65472,3,MX,1,100,-102
1752701131.153229,407742.000,65472,3,MX,1,100,-101
1752701131.193229,407782.000,65489,3,MX,1,100,-102
