LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1752787779.601419,80565.000,10780,3,GZ,1,100,-6.836
1752787779.641419,80605.000,10780,3,GZ,1,100,-4.639
1752787779.681419,80645.000,10794,3,GZ,1,100,-2.960
1752787779.721420,80685.000,10794,3,GZ,1,100,-2.472
1752787779.761420,80725.000,10794,3,GZ,1,100,-4.395
1752787779.801420,80765.000,10813,2,GZ,1,100,-6.470
1752787779.841421,80805.000,10813,2,GZ,1,100,-5.707
1752787779.881421,80845.000,10829,3,GZ,1,100,-2.533
1752787779.921421,80885.000,10829,3,GZ,1,100,-0.458
1752787779.961422,80925.000,10829,3,GZ,1,100,-0.244
1752787780.001422,80965.000,10847,2,GZ,1,100,0.000
1752787780.041422,81005.000,10847,2,GZ,1,100,-0.458
1752787780.076756,81040.333,10864,3,GZ,1,100,-1.373
1752787780.112089,81075.667,10864,3,GZ,1,100,-1.526
1752787780.147423,81111.000,10864,3,GZ,1,100,-1.892
1752787780.187423,81151.000,10880,3,GZ,1,100,-1.465
1752787780.227424,81191.000,10880,3,GZ,1,100,-0.763
1752787780.267424,81231.000,10880,3,GZ,1,100,-0.305
1752787780.307424,81271.000,10897,2,GZ,1,100,0.275
1752787780.347425,81311.000,10897,2,GZ,1,100,-1.282
1752787780.387425,81351.000,10914,3,GZ,1,100,-1.617
1752787780.427425,81391.000,10914,3,GZ,1,100,-1.862
1752787780.467426,81431.000,10914,3,GZ,1,100,-2.502
1752787780.507426,81471.000,10930,2,GZ,1,100,-2.411
1752787780.547426,81511.000,10930,2,GZ,1,100,-1.892
1752787780.587427,81551.000,10946,3,GZ,1,100,-0.885
1752787780.627427,81591.000,10946,3,GZ,1,100,0.519
1752787780.667427,81631.000,10946,3,GZ,1,100,2.045
1752787780.707428,81671.000,10964,2,GZ,1,100,2.472
1752787780.747428,81711.000,10964,2,GZ,1,100,0.916
1752787780.787428,81751.000,10981,3,GZ,1,100,0.000
1752787780.827429,81791.000,10981,3,GZ,1,100,0.549
1752787780.867429,81831.000,10981,3,GZ,1,100,1.404
1752787780.907429,81871.000,10998,2,GZ,1,100,1.556
1752787780.947430,81911.000,10998,2,GZ,1,100,1.678
1752787780.987430,81951.000,11015,3,GZ,1,100,1.678
1752787781.027430,81991.000,11015,3,GZ,1,100,0.916
1752787781.067431,82031.000,11015,3,GZ,1,100,1.038
1752787781.107431,82071.000,11031,3,GZ,1,100,0.336
1752787781.147431,82111.000,11031,3,GZ,1,100,0.702
1752787781.187432,82151.000,11031,3,GZ,1,100,1.770
1752787781.227432,82191.000,11055,2,GZ,1,100,2.289
1752787781.267432,82231.000,11055,2,GZ,1,100,1.862
1752787781.307433,82271.000,11074,3,GZ,1,100,1.099
1752787781.347433,82311.000,11074,3,GZ,1,100,0.549
1752787781.387433,82351.000,11074,3,GZ,1,100,0.000
1752787781.427434,82391.000,11091,2,GZ,1,100,0.153
1752787781.467434,82431.000,11091,2,GZ,1,100,0.183
1752787781.507434,82471.000,11107,3,GZ,1,100,0.854
1752787781.547435,82511.000,11107,3,GZ,1,100,0.244
1752787781.587435,82551.000,11107,3,GZ,1,100,0.061
1752787781.627435,82591.000,11125,2,GZ,1,100,1.007
1752787781.667436,82631.000,11125,2,GZ,1,100,0.580
1752787781.707436,82671.000,11141,3,GZ,1,100,1.068
1752787781.747436,82711.000,11141,3,GZ,1,100,-0.366
1752787781.787437,82751.000,11141,3,GZ,1,100,-2.228
1752787781.827437,82791.000,11156,2,GZ,1,100,-2.197
1752787781.867437,82831.000,11156,2,GZ,1,100,-0.671
1752787781.907104,82870.667,11173,3,GZ,1,100,0.183
1752787781.946771,82910.333,11173,3,GZ,1,100,0.275
1752787781.986438,82950.000,11173,3,GZ,1,100,0.000
1752787782.026939,82990.500,11192,2,GZ,1,100,-0.793
1752787782.067439,83031.000,11192,2,GZ,1,100,0.549
1752787782.107439,83071.000,11208,3,GZ,1,100,1.282
1752787782.147440,83111.000,11208,3,GZ,1,100,1.404
1752787782.187440,83151.000,11208,3,GZ,1,100,-0.366
1752787782.227440,83191.000,11224,2,GZ,1,100,-2.563
1752787782.267441,83231.000,11224,2,GZ,1,100,-3.571
1752787782.307441,83271.000,11240,3,GZ,1,100,-1.770
1752787782.347441,83311.000,11240,3,GZ,1,100,-1.343
1752787782.387442,83351.000,11240,3,GZ,1,100,-1.587
1752787782.427442,83391.000,11257,3,GZ,1,100,-1.801
1752787782.467442,83431.000,11257,3,GZ,1,100,-2.228
1752787782.507443,83471.000,11257,3,GZ,1,100,-1.068
1752787782.547443,83511.000,11275,2,GZ,1,100,-0.244
1752787782.587443,83551.000,11275,2,GZ,1,100,0.458
1752787782.627444,83591.000,11293,3,GZ,1,100,1.678
1752787782.667444,83631.000,11293,3,GZ,1,100,1.892
1752787782.707444,83671.000,11293,3,GZ,1,100,1.495
1752787782.746945,83710.500,11309,2,GZ,1,100,1.038
1752787782.786445,83750.000,11309,2,GZ,1,100,0.854
1752787782.826779,83790.333,11326,3,GZ,1,100,-0.183
1752787782.867112,83830.667,11326,3,GZ,1,100,0.916
1752787782.907446,83871.000,11326,3,GZ,1,100,0.214
1752787782.946946,83910.500,11343,2,GZ,1,100,0.183
1752787782.986447,83950.000,11343,2,GZ,1,100,1.495
