LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1752174607.387254,219165.000,33879,3,GY,1,100,-3.418
1752174607.427254,219205.000,33879,3,GY,1,100,-2.563
1752174607.467254,219245.000,33895,2,GY,1,100,-1.465
1752174607.507254,219285.000,33895,2,GY,1,100,-0.885
1752174607.547254,219325.000,33912,3,GY,1,100,-1.068
1752174607.587254,219365.000,33912,3,GY,1,100,-0.397
1752174607.627254,219405.000,33912,3,GY,1,100,-0.153
1752174607.667254,219445.000,33929,2,GY,1,100,-1.526
1752174607.707254,219485.000,33929,2,GY,1,100,-1.190
1752174607.747254,219525.000,33946,3,GY,1,100,-0.153
1752174607.787254,219565.000,33946,3,GY,1,100,0.397
1752174607.827254,219605.000,33946,3,GY,1,100,0.702
1752174607.867254,219645.000,33964,3,GY,1,100,0.183
1752174607.907254,219685.000,33964,3,GY,1,100,-0.305
1752174607.947254,219725.000,33964,3,GY,1,100,-0.092
1752174607.987254,219765.000,33982,2,GY,1,100,0.275
1752174608.027254,219805.000,33982,2,GY,1,100,0.275
1752174608.067254,219845.000,33996,3,GY,1,100,1.221
1752174608.107254,219885.000,33996,3,GY,1,100,1.465
1752174608.147254,219925.000,33996,3,GY,1,100,1.373
1752174608.187254,219965.000,34013,2,GY,1,100,1.617
1752174608.227254,220005.000,34013,2,GY,1,100,1.434
1752174608.267254,220045.000,34029,3,GY,1,100,1.617
1752174608.307254,220085.000,34029,3,GY,1,100,1.251
1752174608.347254,220125.000,34029,3,GY,1,100,0.732
1752174608.387254,220165.000,34047,2,GY,1,100,0.549
1752174608.427254,220205.000,34047,2,GY,1,100,-0.336
1752174608.467254,220245.000,34065,3,GY,1,100,-0.793
1752174608.507254,220285.000,34065,3,GY,1,100,-1.160
1752174608.547254,220325.000,34065,3,GY,1,100,-0.885
1752174608.587254,220365.000,34082,2,GY,1,100,-0.092
1752174608.627254,220405.000,34082,2,GY,1,100,0.000
1752174608.667254,220445.000,34099,3,GY,1,100,0.275
1752174608.707254,220485.000,34099,3,GY,1,100,0.793
1752174608.747254,220525.000,34099,3,GY,1,100,0.031
1752174608.787254,220565.000,34116,2,GY,1,100,-1.343
1752174608.827254,220605.000,34116,2,GY,1,100,-1.953
1752174608.867254,220645.000,34132,3,GY,1,100,-0.702
1752174608.907254,220685.000,34132,3,GY,1,100,0.793
1752174608.947254,220725.000,34132,3,GY,1,100,1.984
1752174608.987254,220765.000,34150,3,GY,1,100,2.563
1752174609.027254,220805.000,34150,3,GY,1,100,0.885
1752174609.067254,220845.000,34150,3,GY,1,100,-0.153
1752174609.107254,220885.000,34168,2,GY,1,100,-0.366
1752174609.147254,220925.000,34168,2,GY,1,100,0.275
1752174609.186920,220964.667,34187,3,GY,1,100,1.709
1752174609.226587,221004.333,34187,3,GY,1,100,1.801
1752174609.266254,221044.000,34187,3,GY,1,100,1.190
