LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1752778622.280861,499473.000,14054,3,MY,1,100,107
1752778622.320861,499513.000,14054,3,MY,1,100,107
1752778622.360861,499553.000,14071,2,MY,1,100,107
1752778622.400862,499593.000,14071,2,MY,1,100,107
1752778622.440862,499633.000,14089,3,MY,1,100,106
1752778622.480862,499673.000,14089,3,MY,1,100,106
1752778622.520862,499713.000,14089,3,MY,1,100,107
1752778622.560862,499753.000,14107,2,MY,1,100,107
1752778622.600863,499793.000,14107,2,MY,1,100,106
1752778622.640863,499833.000,14123,3,MY,1,100,107
1752778622.680863,499873.000,14123,3,MY,1,100,106
1752778622.720863,499913.000,14123,3,MY,1,100,106
1752778622.760863,499953.000,14138,2,MY,1,100,106
1752778622.800864,499993.000,14138,2,MY,1,100,107
1752778622.840864,500033.000,14155,3,MY,1,100,105
1752778622.880864,500073.000,14155,3,MY,1,100,104
1752778622.920864,500113.000,14155,3,MY,1,100,106
1752778622.960865,500153.000,14172,2,MY,1,100,106
1752778623.000865,500193.000,14172,2,MY,1,100,106
1752778623.040865,500233.000,14190,3,MY,1,100,106
1752778623.080865,500273.000,14190,3,MY,1,100,106
1752778623.120865,500313.000,14190,3,MY,1,100,105
1752778623.160866,500353.000,14207,3,MY,1,100,106
1752778623.200866,500393.000,14207,3,MY,1,100,106
1752778623.240866,500433.000,14207,3,MY,1,100,106
1752778623.280866,500473.000,14224,2,MY,1,100,105
1752778623.320866,500513.000,14224,2,MY,1,100,106
1752778623.360867,500553.000,14241,3,MY,1,100,106
1752778623.400867,500593.000,14241,3,MY,1,100,106
1752778623.440867,500633.000,14241,3,MY,1,100,105
1752778623.480867,500673.000,14257,2,MY,1,100,106
1752778623.520868,500713.000,14257,2,MY,1,100,106
1752778623.560868,500753.000,14274,3,MY,1,100,106
1752778623.600868,500793.000,14274,3,MY,1,100,105
1752778623.640868,500833.000,14274,3,MY,1,100,106
1752778623.680868,500873.000,14289,2,MY,1,100,106
1752778623.720869,500913.000,14289,2,MY,1,100,107
1752778623.760869,500953.000,14306,3,MY,1,100,107
1752778623.800869,500993.000,14306,3,MY,1,100,106
1752778623.840869,501033.000,14306,3,MY,1,100,107
1752778623.880869,501073.000,14325,2,MY,1,100,106
1752778623.920870,501113.000,14325,2,MY,1,100,106
1752778623.960870,501153.000,14341,3,MY,1,100,106
1752778624.000870,501193.000,14341,3,MY,1,100,106
1752778624.040870,501233.000,14341,3,MY,1,100,106
1752778624.080871,501273.000,14358,2,MY,1,100,106
1752778624.120871,501313.000,14358,2,MY,1,100,106
1752778624.160871,501353.000,14376,3,MY,1,100,106
1752778624.200871,501393.000,14376,3,MY,1,100,106
1752778624.240871,501433.000,14376,3,MY,1,100,106
1752778624.280872,501473.000,14392,2,MY,1,100,106
1752778624.320872,501513.000,14392,2,MY,1,100,106
1752778624.360872,501553.000,14411,3,MY,1,100,107
1752778624.400872,501593.000,14411,3,MY,1,100,106
1752778624.440872,501633.000,14411,3,MY,1,100,107
1752778624.480873,501673.000,14425,2,MY,1,100,105
1752778624.520873,501713.000,14425,2,MY,1,100,106
1752778624.560873,501753.000,14447,3,MY,1,100,106
1752778624.600873,501793.000,14447,3,MY,1,100,106
1752778624.640874,501833.000,14447,3,MY,1,100,106
1752778624.680874,501873.000,14463,3,MY,1,100,107
1752778624.720874,501913.000,14463,3,MY,1,100,106
1752778624.760874,501953.000,14463,3,MY,1,100,107
1752778624.793874,501986.000,14480,2,MY,1,100,106
1752778624.826875,502019.000,14480,2,MY,1,100,106
1752778624.866875,502059.000,14495,3,MY,1,100,106
1752778624.906875,502099.000,14495,3,MY,1,100,106
1752778624.946875,502139.000,14495,3,MY,1,100,106
1752778624.986875,502179.000,14512,3,MY,1,100,106
1752778625.026876,502219.000,14512,3,MY,1,100,106
1752778625.066876,502259.000,14512,3,MY,1,100,106
1752778625.106876,502299.000,14530,2,MY,1,100,106
1752778625.146876,502339.000,14530,2,MY,1,100,106
1752778625.186876,502379.000,14550,3,MY,1,100,107
1752778625.226877,502419.000,14550,3,MY,1,100,107
1752778625.266877,502459.000,14550,3,MY,1,100,107
1752778625.306877,502499.000,14564,2,MY,1,100,105
1752778625.346877,502539.000,14564,2,MY,1,100,106
1752778625.386878,502579.000,14581,3,MY,1,100,106
1752778625.426878,502619.000,14581,3,MY,1,100,106
1752778625.466878,502659.000,14581,3,MY,1,100,106
1752778625.506878,502699.000,14597,2,MY,1,100,106
1752778625.546878,502739.000,14597,2,MY,1,100,107
1752778625.586879,502779.000,14617,3,MY,1,100,106
1752778625.626879,502819.000,14617,3,MY,1,100,107
1752778625.666879,502859.000,14617,3,MY,1,100,107
1752778625.706879,502899.000,14631,2,MY,1,100,106
1752778625.746880,502939.000,14631,2,MY,1,100,107
1752778625.786880,502979.000,14650,3,MY,1,100,106
1752778625.826880,503019.000,14650,3,MY,1,100,107
1752778625.866880,503059.000,14650,3,MY,1,100,106
1752778625.906880,503099.000,14667,2,MY,1,100,106
1752778625.946881,503139.000,14667,2,MY,1,100,106
1752778625.986881,503179.000,14684,3,MY,1,100,107
1752778626.026881,503219.000,14684,3,MY,1,100,106
1752778626.066881,503259.000,14684,3,MY,1,100,106
1752778626.106881,503299.000,14701,2,MY,1,100,106
1752778626.146882,503339.000,14701,2,MY,1,100,106
1752778626.186882,503379.000,14718,3,MY,1,100,107
1752778626.226882,503419.000,14718,3,MY,1,100,107
1752778626.266882,503459.000,14718,3,MY,1,100,106
1752778626.306883,503499.000,14736,3,MY,1,100,106
1752778626.346883,503539.000,14736,3,MY,1,100,106
1752778626.386883,503579.000,14736,3,MY,1,100,107
1752778626.426883,503619.000,14755,2,MY,1,100,106
1752778626.466883,503659.000,14755,2,MY,1,100,107
1752778626.506884,503699.000,14772,3,MY,1,100,107
1752778626.546884,503739.000,14772,3,MY,1,100,107
1752778626.586884,503779.000,14772,3,MY,1,100,106
1752778626.626884,503819.000,14787,2,MY,1,100,106
1752778626.666884,503859.000,14787,2,MY,1,100,106
1752778626.706885,503899.000,14803,3,MY,1,100,107
1752778626.746885,503939.000,14803,3,MY,1,100,106
1752778626.786885,503979.000,14803,3,MY,1,100,105
1752778626.826885,504019.000,14820,2,MY,1,100,106
1752778626.866886,504059.000,14820,2,MY,1,100,106
1752778626.906886,504099.000,14842,3,MY,1,100,107
1752778626.946886,504139.000,14842,3,MY,1,100,106
1752778626.986886,504179.000,14842,3,MY,1,100,106
1752778627.026886,504219.000,14859,2,MY,1,100,106
1752778627.066887,504259.000,14859,2,MY,1,100,106
1752778627.106887,504299.000,14875,3,MY,1,100,106
1752778627.146887,504339.000,14875,3,MY,1,100,106
1752778627.186887,504379.000,14875,3,MY,1,100,106
1752778627.226887,504419.000,14897,2,MY,1,100,106
1752778627.266888,504459.000,14897,2,MY,1,100,105
1752778627.306888,504499.000,14913,3,MY,1,100,106
1752778627.346888,504539.000,14913,3,MY,1,100,105
1752778627.386888,504579.000,14913,3,MY,1,100,106
1752778627.426889,504619.000,14928,2,MY,1,100,106
1752778627.466889,504659.000,14928,2,MY,1,100,106
1752778627.506889,504699.000,14945,3,MY,1,100,106
1752778627.546889,504739.000,14945,3,MY,1,100,106
1752778627.586889,504779.000,14945,3,MY,1,100,107
1752778627.626890,504819.000,14962,2,MY,1,100,106
1752778627.666890,504859.000,14962,2,MY,1,100,106
1752778627.706890,504899.000,14978,3,MY,1,100,107
1752778627.746890,504939.000,14978,3,MY,1,100,106
1752778627.786890,504979.000,14978,3,MY,1,100,106
1752778627.826891,505019.000,14993,2,MY,1,100,106
1752778627.866891,505059.000,14993,2,MY,1,100,106
1752778627.906891,505099.000,15012,3,MY,1,100,107
1752778627.946891,505139.000,15012,3,MY,1,100,106
1752778627.986892,505179.000,15012,3,MY,1,100,107
1752778628.026892,505219.000,15031,3,MY,1,100,107
1752778628.066892,505259.000,15031,3,MY,1,100,106
1752778628.106892,505299.000,15031,3,MY,1,100,107
1752778628.146892,505339.000,15047,2,MY,1,100,107
1752778628.186893,505379.000,15047,2,MY,1,100,106
1752778628.226893,505419.000,15064,3,MY,1,100,106
1752778628.266893,505459.000,15064,3,MY,1,100,106
1752778628.306893,505499.000,15064,3,MY,1,100,105
1752778628.346894,505539.000,15079,2,MY,1,100,107
1752778628.386894,505579.000,15079,2,MY,1,100,106
1752778628.422561,505614.667,15096,3,MY,1,100,107
1752778628.458227,505650.333,15096,3,MY,1,100,105
1752778628.493894,505686.000,15096,3,MY,1,100,106
1752778628.533895,505726.000,15117,3,MY,1,100,104
1752778628.573895,505766.000,15117,3,MY,1,100,104
1752778628.613895,505806.000,15117,3,MY,1,100,106
1752778628.653895,505846.000,15133,2,MY,1,100,105
1752778628.693895,505886.000,15133,2,MY,1,100,107
1752778628.733896,505926.000,15148,3,MY,1,100,107
1752778628.773896,505966.000,15148,3,MY,1,100,106
1752778628.813896,506006.000,15148,3,MY,1,100,107
1752778628.853896,506046.000,15166,2,MY,1,100,106
1752778628.893896,506086.000,15166,2,MY,1,100,106
1752778628.933897,506126.000,15182,3,MY,1,100,106
1752778628.973897,506166.000,15182,3,MY,1,100,106
1752778629.013897,506206.000,15182,3,MY,1,100,106
1752778629.053897,506246.000,15201,2,MY,1,100,106
1752778629.093898,506286.000,15201,2,MY,1,100,106
1752778629.133898,506326.000,15215,3,MY,1,100,107
1752778629.173898,506366.000,15215,3,MY,1,100,106
1752778629.213898,506406.000,15215,3,MY,1,100,106
1752778629.253898,506446.000,15233,2,MY,1,100,107
1752778629.293899,506486.000,15233,2,MY,1,100,107
1752778629.333899,506526.000,15249,3,MY,1,100,107
1752778629.373899,506566.000,15249,3,MY,1,100,106
1752778629.413899,506606.000,15249,3,MY,1,100,107
1752778629.453899,506646.000,15266,2,MY,1,100,107
1752778629.493900,506686.000,15266,2,MY,1,100,107
1752778629.533900,506726.000,15281,3,MY,1,100,107
1752778629.573900,506766.000,15281,3,MY,1,100,107
1752778629.613900,506806.000,15281,3,MY,1,100,108
1752778629.653901,506846.000,15300,3,MY,1,100,107
1752778629.693901,506886.000,15300,3,MY,1,100,107
1752778629.733901,506926.000,15300,3,MY,1,100,106
1752778629.773901,506966.000,15318,2,MY,1,100,107
1752778629.813901,507006.000,15318,2,MY,1,100,107
1752778629.853902,507046.000,15336,3,MY,1,100,107
1752778629.893902,507086.000,15336,3,MY,1,100,107
1752778629.933902,507126.000,15336,3,MY,1,100,107
1752778629.973902,507166.000,15350,2,MY,1,100,107
1752778630.013902,507206.000,15350,2,MY,1,100,107
1752778630.053903,507246.000,15367,3,MY,1,100,108
1752778630.093903,507286.000,15367,3,MY,1,100,108
1752778630.133903,507326.000,15367,3,MY,1,100,108
1752778630.173903,507366.000,15383,2,MY,1,100,108
1752778630.213904,507406.000,15383,2,MY,1,100,108
1752778630.253904,507446.000,15401,3,MY,1,100,109
1752778630.293904,507486.000,15401,3,MY,1,100,108
1752778630.333904,507526.000,15401,3,MY,1,100,108
1752778630.373904,507566.000,15417,2,MY,1,100,107
1752778630.413905,507606.000,15417,2,MY,1,100,108
1752778630.453905,507646.000,15434,3,MY,1,100,108
1752778630.493905,507686.000,15434,3,MY,1,100,107
