LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1752617381.611548,296221.000,46038,3,PG,1,100,2685
1752617381.651048,296260.500,46053,2,PG,1,100,2689
1752617381.690548,296300.000,46053,2,PG,1,100,2676
1752617381.730548,296340.000,46070,3,PG,1,100,2687
1752617381.770548,296380.000,46070,3,PG,1,100,2690
1752617381.810548,296420.000,46070,3,PG,1,100,2680
1752617381.850548,296460.000,46087,3,PG,1,100,2666
1752617381.890548,296500.000,46087,3,PG,1,100,2680
1752617381.930547,296540.000,46087,3,PG,1,100,2685
1752617381.970547,296580.000,46106,2,PG,1,100,2693
1752617382.010547,296620.000,46106,2,PG,1,100,2692
1752617382.050547,296660.000,46122,3,PG,1,100,2693
1752617382.090547,296700.000,46122,3,PG,1,100,2688
1752617382.130547,296740.000,46122,3,PG,1,100,2683
1752617382.170547,296780.000,46139,2,PG,1,100,2688
1752617382.210546,296820.000,46139,2,PG,1,100,2690
1752617382.250546,296860.000,46158,3,PG,1,100,2696
1752617382.290546,296900.000,46158,3,PG,1,100,2676
1752617382.330546,296940.000,46158,3,PG,1,100,2694
1752617382.370546,296980.000,46175,2,PG,1,100,2673
1752617382.410546,297020.000,46175,2,PG,1,100,2683
1752617382.450546,297060.000,46189,3,PG,1,100,2682
1752617382.490545,297100.000,46189,3,PG,1,100,2692
1752617382.530545,297140.000,46189,3,PG,1,100,2691
1752617382.570545,297180.000,46212,4,PG,1,100,2675
1752617382.610545,297220.000,46212,4,PG,1,100,2688
1752617382.650545,297260.000,46212,4,PG,1,100,2670
1752617382.690545,297300.000,46212,4,PG,1,100,2680
1752617382.730545,297340.000,46230,3,PG,1,100,2685
1752617382.770544,297380.000,46230,3,PG,1,100,2701
1752617382.810544,297420.000,46230,3,PG,1,100,2686
1752617382.850544,297460.000,46249,2,PG,1,100,2695
1752617382.890544,297500.000,46249,2,PG,1,100,2673
1752617382.930544,297540.000,46266,3,PG,1,100,2683
1752617382.970544,297580.000,46266,3,PG,1,100,2681
1752617383.010544,297620.000,46266,3,PG,1,100,2681
1752617383.050543,297660.000,46283,2,PG,1,100,2698
1752617383.090543,297700.000,46283,2,PG,1,100,2685
1752617383.130543,297740.000,46298,3,PG,1,100,2688
1752617383.170543,297780.000,46298,3,PG,1,100,2683
1752617383.210543,297820.000,46298,3,PG,1,100,2688
1752617383.251043,297860.500,46315,2,PG,1,100,2677
1752617383.291543,297901.000,46315,2,PG,1,100,2682
1752617383.335876,297945.333,46331,3,PG,1,100,2672
1752617383.380209,297989.667,46331,3,PG,1,100,2691
1752617383.424542,298034.000,46331,3,PG,1,100,2680
1752617383.464542,298074.000,46348,2,PG,1,100,2692
1752617383.504542,298114.000,46348,2,PG,1,100,2689
1752617383.544542,298154.000,46366,3,PG,1,100,2684
1752617383.584542,298194.000,46366,3,PG,1,100,2680
1752617383.624541,298234.000,46366,3,PG,1,100,2686
1752617383.664541,298274.000,46382,2,PG,1,100,2676
1752617383.704541,298314.000,46382,2,PG,1,100,2680
1752617383.744541,298354.000,46398,3,PG,1,100,2675
1752617383.784541,298394.000,46398,3,PG,1,100,2694
1752617383.824541,298434.000,46398,3,PG,1,100,2681
1752617383.864541,298474.000,46416,2,PG,1,100,2678
1752617383.904540,298514.000,46416,2,PG,1,100,2668
1752617383.944540,298554.000,46432,3,PG,1,100,2684
1752617383.984540,298594.000,46432,3,PG,1,100,2693
1752617384.024540,298634.000,46432,3,PG,1,100,2684
1752617384.064540,298674.000,46447,2,PG,1,100,2691
1752617384.104540,298714.000,46447,2,PG,1,100,2686
1752617384.144540,298754.000,46463,3,PG,1,100,2675
1752617384.184539,298794.000,46463,3,PG,1,100,2674
1752617384.224539,298834.000,46463,3,PG,1,100,2682
1752617384.264539,298874.000,46481,2,PG,1,100,2684
1752617384.304539,298914.000,46481,2,PG,1,100,2676
1752617384.344539,298954.000,46497,3,PG,1,100,2687
1752617384.384539,298994.000,46497,3,PG,1,100,2682
1752617384.424539,299034.000,46497,3,PG,1,100,2679
1752617384.464539,299074.000,46514,2,PG,1,100,2679
1752617384.504538,299114.000,46514,2,PG,1,100,2673
1752617384.544538,299154.000,46531,3,PG,1,100,2679
1752617384.584538,299194.000,46531,3,PG,1,100,2684
1752617384.624538,299234.000,46531,3,PG,1,100,2671
1752617384.664204,299273.667,46550,3,PG,1,100,2687
1752617384.703871,299313.333,46550,3,PG,1,100,2685
1752617384.743538,299353.000,46550,3,PG,1,100,2681
1752617384.784037,299393.500,46566,2,PG,1,100,2668
1752617384.824537,299434.000,46566,2,PG,1,100,2677
1752617384.864204,299473.667,46584,3,PG,1,100,2679
1752617384.903870,299513.333,46584,3,PG,1,100,2686
1752617384.943537,299553.000,46584,3,PG,1,100,2679
1752617384.983537,299593.000,46600,2,PG,1,100,2680
1752617385.023537,299633.000,46600,2,PG,1,100,2680
1752617385.063536,299673.000,46617,3,PG,1,100,2680
1752617385.103536,299713.000,46617,3,PG,1,100,2681
1752617385.143536,299753.000,46617,3,PG,1,100,2683
1752617385.183536,299793.000,46635,2,PG,1,100,2667
1752617385.223536,299833.000,46635,2,PG,1,100,2678
1752617385.263536,299873.000,46651,3,PG,1,100,2687
