LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1752617378.424560,293034.000,45525,3,GZ,1,100,0.366
1752617378.464559,293074.000,45525,3,GZ,1,100,0.031
1752617378.504059,293113.500,45542,2,GZ,1,100,0.153
1752617378.543559,293153.000,45542,2,GZ,1,100,0.214
1752617378.583559,293193.000,45561,3,GZ,1,100,0.214
1752617378.623559,293233.000,45561,3,GZ,1,100,0.000
1752617378.663559,293273.000,45561,3,GZ,1,100,0.305
1752617378.703892,293313.333,45578,3,GZ,1,100,0.854
1752617378.744225,293353.667,45578,3,GZ,1,100,0.488
1752617378.784558,293394.000,45578,3,GZ,1,100,-0.031
1752617378.824558,293434.000,45594,2,GZ,1,100,-0.061
1752617378.864558,293474.000,45594,2,GZ,1,100,0.458
1752617378.904225,293513.667,45610,3,GZ,1,100,-0.061
1752617378.943891,293553.333,45610,3,GZ,1,100,-0.336
1752617378.983558,293593.000,45610,3,GZ,1,100,-0.366
1752617379.023558,293633.000,45628,2,GZ,1,100,-0.458
1752617379.063557,293673.000,45628,2,GZ,1,100,-1.068
1752617379.103557,293713.000,45645,3,GZ,1,100,-0.336
1752617379.143557,293753.000,45645,3,GZ,1,100,0.153
1752617379.183557,293793.000,45645,3,GZ,1,100,0.824
1752617379.223557,293833.000,45662,2,GZ,1,100,1.129
1752617379.263557,293873.000,45662,2,GZ,1,100,0.397
1752617379.303557,293913.000,45678,3,GZ,1,100,0.458
1752617379.343556,293953.000,45678,3,GZ,1,100,0.061
1752617379.383556,293993.000,45678,3,GZ,1,100,0.458
1752617379.423556,294033.000,45693,2,GZ,1,100,1.343
1752617379.463556,294073.000,45693,2,GZ,1,100,1.648
1752617379.499556,294109.000,45711,3,GZ,1,100,1.160
1752617379.535556,294145.000,45711,3,GZ,1,100,0.854
1752617379.571556,294181.000,45711,3,GZ,1,100,0.793
1752617379.611555,294221.000,45727,3,GZ,1,100,0.122
1752617379.651555,294261.000,45727,3,GZ,1,100,-0.092
1752617379.691555,294301.000,45727,3,GZ,1,100,0.122
1752617379.731555,294341.000,45744,2,GZ,1,100,0.153
1752617379.771555,294381.000,45744,2,GZ,1,100,0.488
1752617379.811555,294421.000,45760,3,GZ,1,100,0.092
1752617379.851555,294461.000,45760,3,GZ,1,100,0.153
1752617379.891554,294501.000,45760,3,GZ,1,100,0.397
1752617379.931554,294541.000,45778,2,GZ,1,100,0.610
1752617379.971554,294581.000,45778,2,GZ,1,100,0.702
1752617380.011554,294621.000,45794,3,GZ,1,100,0.671
1752617380.051554,294661.000,45794,3,GZ,1,100,0.580
1752617380.091554,294701.000,45794,3,GZ,1,100,0.824
1752617380.131554,294741.000,45811,2,GZ,1,100,0.916
1752617380.171554,294781.000,45811,2,GZ,1,100,0.153
1752617380.211553,294821.000,45826,3,GZ,1,100,0.427
1752617380.251553,294861.000,45826,3,GZ,1,100,0.519
1752617380.291553,294901.000,45826,3,GZ,1,100,0.763
1752617380.331553,294941.000,45845,3,GZ,1,100,0.732
1752617380.371553,294981.000,45845,3,GZ,1,100,0.641
1752617380.411553,295021.000,45845,3,GZ,1,100,0.580
1752617380.451553,295061.000,45861,2,GZ,1,100,0.854
1752617380.491552,295101.000,45861,2,GZ,1,100,0.488
1752617380.531552,295141.000,45879,3,GZ,1,100,0.244
1752617380.571552,295181.000,45879,3,GZ,1,100,0.580
1752617380.611552,295221.000,45879,3,GZ,1,100,0.427
1752617380.651552,295261.000,45893,2,GZ,1,100,0.275
1752617380.691552,295301.000,45893,2,GZ,1,100,0.153
1752617380.731552,295341.000,45910,3,GZ,1,100,0.366
1752617380.771551,295381.000,45910,3,GZ,1,100,0.763
1752617380.811551,295421.000,45910,3,GZ,1,100,0.793
1752617380.851551,295461.000,45926,2,GZ,1,100,0.244
1752617380.891551,295501.000,45926,2,GZ,1,100,0.122
1752617380.931551,295541.000,45946,3,GZ,1,100,0.946
1752617380.971551,295581.000,45946,3,GZ,1,100,0.885
1752617381.011551,295621.000,45946,3,GZ,1,100,0.336
1752617381.051550,295661.000,45960,2,GZ,1,100,0.275
1752617381.091550,295701.000,45960,2,GZ,1,100,0.549
1752617381.131550,295741.000,45977,3,GZ,1,100,0.763
1752617381.171550,295781.000,45977,3,GZ,1,100,0.641
1752617381.211550,295821.000,45977,3,GZ,1,100,0.397
1752617381.251550,295861.000,45994,2,GZ,1,100,0.580
1752617381.291550,295901.000,45994,2,GZ,1,100,0.641
1752617381.331216,295940.667,46013,3,GZ,1,100,0.549
1752617381.370883,295980.333,46013,3,GZ,1,100,0.458
1752617381.410549,296020.000,46013,3,GZ,1,100,0.153
1752617381.451049,296060.500,46028,2,GZ,1,100,0.183
1752617381.491549,296101.000,46028,2,GZ,1,100,0.793
1752617381.531549,296141.000,46047,3,GZ,1,100,0.916
1752617381.571549,296181.000,46047,3,GZ,1,100,0.305
1752617381.611548,296221.000,46047,3,GZ,1,100,0.153
1752617381.651048,296260.500,46063,2,GZ,1,100,0.977
1752617381.690548,296300.000,46063,2,GZ,1,100,1.862
1752617381.730548,296340.000,46080,3,GZ,1,100,0.671
1752617381.770548,296380.000,46080,3,GZ,1,100,-0.153
1752617381.810548,296420.000,46080,3,GZ,1,100,-0.031
1752617381.850548,296460.000,46097,3,GZ,1,100,1.099
1752617381.890548,296500.000,46097,3,GZ,1,100,1.465
1752617381.930547,296540.000,46097,3,GZ,1,100,0.763
1752617381.970547,296580.000,46114,2,GZ,1,100,0.122
1752617382.010547,296620.000,46114,2,GZ,1,100,1.343
1752617382.050547,296660.000,46132,3,GZ,1,100,2.136
1752617382.090547,296700.000,46132,3,GZ,1,100,1.343
1752617382.130547,296740.000,46132,3,GZ,1,100,1.343
1752617382.170547,296780.000,46149,2,GZ,1,100,1.343
1752617382.210546,296820.000,46149,2,GZ,1,100,1.678
1752617382.250546,296860.000,46168,3,GZ,1,100,2.258
1752617382.290546,296900.000,46168,3,GZ,1,100,1.617
1752617382.330546,296940.000,46168,3,GZ,1,100,0.793
1752617382.370546,296980.000,46183,2,GZ,1,100,-0.641
1752617382.410546,297020.000,46183,2,GZ,1,100,2.106
1752617382.450546,297060.000,46199,3,GZ,1,100,4.730
1752617382.490545,297100.000,46199,3,GZ,1,100,2.502
1752617382.530545,297140.000,46199,3,GZ,1,100,1.007
1752617382.570545,297180.000,46222,4,GZ,1,100,-0.031
1752617382.610545,297220.000,46222,4,GZ,1,100,-1.312
1752617382.650545,297260.000,46222,4,GZ,1,100,1.251
1752617382.690545,297300.000,46222,4,GZ,1,100,4.303
1752617382.730545,297340.000,46240,3,GZ,1,100,5.005
1752617382.770544,297380.000,46240,3,GZ,1,100,4.913
1752617382.810544,297420.000,46240,3,GZ,1,100,4.395
1752617382.850544,297460.000,46259,2,GZ,1,100,3.235
1752617382.890544,297500.000,46259,2,GZ,1,100,1.556
1752617382.930544,297540.000,46276,3,GZ,1,100,0.488
1752617382.970544,297580.000,46276,3,GZ,1,100,-0.732
1752617383.010544,297620.000,46276,3,GZ,1,100,-4.242
1752617383.050543,297660.000,46292,2,GZ,1,100,-5.768
