LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1752794203.465239,583873.000,29225,3,AX,1,100,0.953
1752794203.505239,583913.000,29243,3,AX,1,100,0.931
1752794203.545240,583953.000,29243,3,AX,1,100,0.945
1752794203.585240,583993.000,29243,3,AX,1,100,0.966
1752794203.625240,584033.000,29259,2,AX,1,100,0.970
1752794203.665240,584073.000,29259,2,AX,1,100,0.947
1752794203.700573,584108.333,29276,3,AX,1,100,0.943
1752794203.735907,584143.667,29276,3,AX,1,100,0.932
1752794203.771240,584179.000,29276,3,AX,1,100,0.902
1752794203.811240,584219.000,29293,3,AX,1,100,0.975
1752794203.851240,584259.000,29293,3,AX,1,100,0.928
1752794203.891241,584299.000,29293,3,AX,1,100,0.894
1752794203.931241,584339.000,29312,2,AX,1,100,0.921
1752794203.971241,584379.000,29312,2,AX,1,100,0.992
1752794204.011241,584419.000,29328,3,AX,1,100,0.963
1752794204.051241,584459.000,29328,3,AX,1,100,0.953
1752794204.091241,584499.000,29328,3,AX,1,100,0.946
1752794204.131241,584539.000,29344,2,AX,1,100,0.951
1752794204.171241,584579.000,29344,2,AX,1,100,0.934
1752794204.211242,584619.000,29360,3,AX,1,100,0.928
1752794204.251242,584659.000,29360,3,AX,1,100,0.948
1752794204.291242,584699.000,29360,3,AX,1,100,0.941
1752794204.331242,584739.000,29377,2,AX,1,100,0.941
1752794204.371242,584779.000,29377,2,AX,1,100,0.942
1752794204.411242,584819.000,29395,3,AX,1,100,0.943
1752794204.451242,584859.000,29395,3,AX,1,100,0.956
1752794204.491242,584899.000,29395,3,AX,1,100,0.942
1752794204.531243,584939.000,29415,2,AX,1,100,0.934
1752794204.571243,584979.000,29415,2,AX,1,100,0.936
1752794204.611243,585019.000,29429,3,AX,1,100,0.942
1752794204.651243,585059.000,29429,3,AX,1,100,0.939
1752794204.691243,585099.000,29429,3,AX,1,100,0.947
1752794204.731243,585139.000,29446,2,AX,1,100,0.949
1752794204.771243,585179.000,29446,2,AX,1,100,0.950
1752794204.811243,585219.000,29463,3,AX,1,100,0.940
1752794204.851244,585259.000,29463,3,AX,1,100,0.936
1752794204.891244,585299.000,29463,3,AX,1,100,0.938
1752794204.931244,585339.000,29482,2,AX,1,100,0.934
1752794204.971244,585379.000,29482,2,AX,1,100,0.943
1752794205.011244,585419.000,29496,3,AX,1,100,0.944
1752794205.051244,585459.000,29496,3,AX,1,100,0.945
1752794205.091244,585499.000,29496,3,AX,1,100,0.955
