LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752789784.666029,751783.000,56657,1,BV,1,100,4.04
1752789789.665044,756782.000,57481,1,BV,1,100,4.05
1752789794.665060,761782.000,58303,1,BV,1,100,4.05
1752789799.664075,766781.000,59123,1,BV,1,100,4.04
1752789804.664091,771781.000,59948,1,BV,1,100,4.05
1752789809.663107,776780.000,60753,1,BV,1,100,4.05
1752789814.663122,781780.000,61576,1,BV,1,100,4.05
1752789819.662138,786779.000,62401,1,BV,1,100,4.05
1752789824.662153,791779.000,63227,1,BV,1,100,4.05
1752789829.661169,796778.000,64050,1,BV,1,100,4.05
1752789834.661184,801778.000,64859,1,BV,1,100,4.05
1752789839.660200,806777.000,147,1,BV,1,100,4.05
1752789844.660216,811777.000,970,1,BV,1,100,4.05
1752789849.659231,816776.000,1808,1,BV,1,100,4.05
1752789854.659247,821776.000,2632,1,BV,1,100,4.06
1752789859.658262,826775.000,3455,1,BV,1,100,4.06
1752789864.658278,831775.000,4276,1,BV,1,100,4.05
1752789869.657294,836774.000,5109,1,BV,1,100,4.06
1752789874.657309,841774.000,5934,1,BV,1,100,4.06
1752789879.656325,846773.000,6756,1,BV,1,100,4.06
1752789884.656340,851773.000,7373,1,BV,1,100,4.06
1752789889.655356,856772.000,8215,1,BV,1,100,4.06
1752789894.655372,861772.000,9039,1,BV,1,100,4.06
1752789899.654387,866771.000,9861,1,BV,1,100,4.06
1752789904.654403,871771.000,10703,1,BV,1,100,4.07
1752789909.653418,876770.000,11525,1,BV,1,100,4.06
1752789914.653434,881770.000,12350,1,BV,1,100,4.06
1752789919.652449,886769.000,13171,1,BV,1,100,4.07
1752789924.652465,891769.000,13992,1,BV,1,100,4.07
1752789929.651481,896768.000,14817,1,BV,1,100,4.07
1752789934.651496,901768.000,15658,1,BV,1,100,4.07
1752789939.650512,906767.000,16483,1,BV,1,100,4.07
1752789944.650527,911767.000,17307,1,BV,1,100,4.07
1752789949.649543,916766.000,18129,1,BV,1,100,4.08
1752789954.649559,921766.000,18969,1,BV,1,100,4.07
1752789959.648574,926765.000,19774,1,BV,1,100,4.07
1752789964.648590,931765.000,20596,1,BV,1,100,4.07
1752789969.647605,936764.000,21418,1,BV,1,100,4.08
1752789974.647621,941764.000,22244,1,BV,1,100,4.08
1752789979.646637,946763.000,23052,1,BV,1,100,4.08
1752789984.646652,951763.000,23894,1,BV,1,100,4.08
1752789989.645668,956762.000,24718,1,BV,1,100,4.08
1752789994.645683,961762.000,25543,1,BV,1,100,4.08
1752789999.644699,966761.000,26364,1,BV,1,100,4.08
1752790004.644715,971761.000,27204,1,BV,1,100,4.08
1752790009.643730,976760.000,28029,1,BV,1,100,4.08
1752790014.643746,981760.000,28851,1,BV,1,100,4.08
1752790019.642761,986759.000,29677,1,BV,1,100,4.08
1752790024.642777,991759.000,30519,1,BV,1,100,4.09
1752790029.641792,996758.000,31341,1,BV,1,100,4.09
1752790034.641808,1001758.000,32163,1,BV,1,100,4.09
1752790039.640824,1006757.000,32989,1,BV,1,100,4.08
1752790044.640839,1011757.000,33817,1,BV,1,100,4.09
1752790049.639855,1016756.000,34642,1,BV,1,100,4.09
