LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1752619991.986674,497758.333,13404,3,MZ,1,100,-59
1752619992.022341,497794.000,13404,3,MZ,1,100,-60
1752619992.062341,497834.000,13421,2,MZ,1,100,-60
1752619992.102341,497874.000,13421,2,MZ,1,100,-59
1752619992.142342,497914.000,13438,3,MZ,1,100,-60
1752619992.182342,497954.000,13438,3,MZ,1,100,-60
1752619992.222342,497994.000,13438,3,MZ,1,100,-61
1752619992.262343,498034.000,13456,2,MZ,1,100,-61
1752619992.302343,498074.000,13456,2,MZ,1,100,-60
1752619992.342343,498114.000,13473,3,MZ,1,100,-61
1752619992.382344,498154.000,13473,3,MZ,1,100,-60
1752619992.422344,498194.000,13473,3,MZ,1,100,-59
1752619992.462344,498234.000,13488,2,MZ,1,100,-59
1752619992.502345,498274.000,13488,2,MZ,1,100,-60
1752619992.542345,498314.000,13507,3,MZ,1,100,-62
1752619992.582345,498354.000,13507,3,MZ,1,100,-60
1752619992.622346,498394.000,13507,3,MZ,1,100,-61
1752619992.662346,498434.000,13524,2,MZ,1,100,-61
1752619992.702346,498474.000,13524,2,MZ,1,100,-59
1752619992.742347,498514.000,13541,3,MZ,1,100,-61
1752619992.782347,498554.000,13541,3,MZ,1,100,-60
1752619992.822347,498594.000,13541,3,MZ,1,100,-60
1752619992.862348,498634.000,13555,2,MZ,1,100,-60
1752619992.902348,498674.000,13555,2,MZ,1,100,-60
1752619992.942348,498714.000,13573,3,MZ,1,100,-60
1752619992.982349,498754.000,13573,3,MZ,1,100,-61
1752619993.022349,498794.000,13573,3,MZ,1,100,-59
1752619993.062349,498834.000,13591,3,MZ,1,100,-60
1752619993.102350,498874.000,13591,3,MZ,1,100,-60
1752619993.142350,498914.000,13591,3,MZ,1,100,-59
1752619993.182350,498954.000,13610,2,MZ,1,100,-59
1752619993.222351,498994.000,13610,2,MZ,1,100,-59
1752619993.262351,499034.000,13624,3,MZ,1,100,-59
1752619993.302351,499074.000,13624,3,MZ,1,100,-61
1752619993.342352,499114.000,13624,3,MZ,1,100,-59
1752619993.382352,499154.000,13642,2,MZ,1,100,-60
1752619993.422352,499194.000,13642,2,MZ,1,100,-60
1752619993.462353,499234.000,13658,3,MZ,1,100,-59
1752619993.502353,499274.000,13658,3,MZ,1,100,-60
1752619993.542353,499314.000,13658,3,MZ,1,100,-59
1752619993.582354,499354.000,13677,2,MZ,1,100,-59
1752619993.622354,499394.000,13677,2,MZ,1,100,-59
1752619993.662354,499434.000,13697,3,MZ,1,100,-60
1752619993.702355,499474.000,13697,3,MZ,1,100,-60
1752619993.742355,499514.000,13697,3,MZ,1,100,-59
1752619993.782355,499554.000,13716,2,MZ,1,100,-59
1752619993.822356,499594.000,13716,2,MZ,1,100,-59
1752619993.862356,499634.000,13732,3,MZ,1,100,-60
1752619993.902356,499674.000,13732,3,MZ,1,100,-60
1752619993.942357,499714.000,13732,3,MZ,1,100,-60
1752619993.982357,499754.000,13750,2,MZ,1,100,-60
1752619994.022357,499794.000,13750,2,MZ,1,100,-59
1752619994.062358,499834.000,13764,3,MZ,1,100,-59
1752619994.102358,499874.000,13764,3,MZ,1,100,-60
1752619994.142358,499914.000,13764,3,MZ,1,100,-60
1752619994.182359,499954.000,13783,2,MZ,1,100,-60
1752619994.222359,499994.000,13783,2,MZ,1,100,-59
1752619994.262359,500034.000,13799,3,MZ,1,100,-61
1752619994.302360,500074.000,13799,3,MZ,1,100,-60
1752619994.342360,500114.000,13799,3,MZ,1,100,-59
1752619994.382360,500154.000,13817,3,MZ,1,100,-59
1752619994.422361,500194.000,13817,3,MZ,1,100,-61
1752619994.462361,500234.000,13817,3,MZ,1,100,-61
1752619994.502361,500274.000,13834,2,MZ,1,100,-61
1752619994.542362,500314.000,13834,2,MZ,1,100,-59
1752619994.582362,500354.000,13850,3,MZ,1,100,-61
1752619994.622362,500394.000,13850,3,MZ,1,100,-61
1752619994.662363,500434.000,13850,3,MZ,1,100,-60
1752619994.702363,500474.000,13867,2,MZ,1,100,-62
1752619994.742363,500514.000,13867,2,MZ,1,100,-60
1752619994.782364,500554.000,13884,3,MZ,1,100,-60
1752619994.822364,500594.000,13884,3,MZ,1,100,-60
1752619994.862364,500634.000,13884,3,MZ,1,100,-60
1752619994.902365,500674.000,13902,2,MZ,1,100,-61
1752619994.942365,500714.000,13902,2,MZ,1,100,-60
1752619994.982366,500754.000,13918,3,MZ,1,100,-60
1752619995.022366,500794.000,13918,3,MZ,1,100,-61
1752619995.062366,500834.000,13918,3,MZ,1,100,-60
1752619995.102367,500874.000,13934,2,MZ,1,100,-61
1752619995.142367,500914.000,13934,2,MZ,1,100,-59
1752619995.182367,500954.000,13953,3,MZ,1,100,-60
1752619995.222368,500994.000,13953,3,MZ,1,100,-61
1752619995.262368,501034.000,13953,3,MZ,1,100,-59
1752619995.302368,501074.000,13970,2,MZ,1,100,-60
1752619995.342369,501114.000,13970,2,MZ,1,100,-58
1752619995.382369,501154.000,13985,3,MZ,1,100,-59
1752619995.422369,501194.000,13985,3,MZ,1,100,-60
1752619995.462370,501234.000,13985,3,MZ,1,100,-60
1752619995.502370,501274.000,14001,3,MZ,1,100,-60
1752619995.542370,501314.000,14001,3,MZ,1,100,-60
1752619995.582371,501354.000,14001,3,MZ,1,100,-61
1752619995.622371,501394.000,14018,2,MZ,1,100,-60
1752619995.662371,501434.000,14018,2,MZ,1,100,-59
1752619995.702372,501474.000,14035,3,MZ,1,100,-61
1752619995.742372,501514.000,14035,3,MZ,1,100,-60
1752619995.782372,501554.000,14035,3,MZ,1,100,-59
1752619995.822373,501594.000,14050,2,MZ,1,100,-59
1752619995.862373,501634.000,14050,2,MZ,1,100,-60
1752619995.902373,501674.000,14068,3,MZ,1,100,-60
1752619995.942374,501714.000,14068,3,MZ,1,100,-59
1752619995.982374,501754.000,14068,3,MZ,1,100,-59
1752619996.017708,501789.333,14088,3,MZ,1,100,-60
1752619996.053041,501824.667,14088,3,MZ,1,100,-58
1752619996.088375,501860.000,14088,3,MZ,1,100,-58
1752619996.128375,501900.000,14106,2,MZ,1,100,-59
1752619996.168375,501940.000,14106,2,MZ,1,100,-59
1752619996.208376,501980.000,14121,3,MZ,1,100,-58
1752619996.248376,502020.000,14121,3,MZ,1,100,-59
1752619996.288376,502060.000,14121,3,MZ,1,100,-58
1752619996.328377,502100.000,14138,2,MZ,1,100,-59
1752619996.368377,502140.000,14138,2,MZ,1,100,-57
1752619996.408377,502180.000,14155,3,MZ,1,100,-57
1752619996.448378,502220.000,14155,3,MZ,1,100,-58
1752619996.488378,502260.000,14155,3,MZ,1,100,-59
1752619996.528378,502300.000,14171,2,MZ,1,100,-58
1752619996.568379,502340.000,14171,2,MZ,1,100,-57
1752619996.608379,502380.000,14191,3,MZ,1,100,-59
1752619996.648379,502420.000,14191,3,MZ,1,100,-57
1752619996.688380,502460.000,14191,3,MZ,1,100,-57
1752619996.728380,502500.000,14207,2,MZ,1,100,-58
1752619996.768380,502540.000,14207,2,MZ,1,100,-57
1752619996.808381,502580.000,14224,3,MZ,1,100,-57
1752619996.848381,502620.000,14224,3,MZ,1,100,-57
1752619996.888381,502660.000,14224,3,MZ,1,100,-57
1752619996.928382,502700.000,14240,2,MZ,1,100,-58
1752619996.968382,502740.000,14240,2,MZ,1,100,-57
1752619997.008382,502780.000,14258,3,MZ,1,100,-57
1752619997.048383,502820.000,14258,3,MZ,1,100,-57
1752619997.088383,502860.000,14258,3,MZ,1,100,-56
1752619997.128383,502900.000,14274,2,MZ,1,100,-57
1752619997.168384,502940.000,14274,2,MZ,1,100,-57
1752619997.208384,502980.000,14291,3,MZ,1,100,-57
1752619997.248384,503020.000,14291,3,MZ,1,100,-57
1752619997.288385,503060.000,14291,3,MZ,1,100,-57
1752619997.328385,503100.000,14308,3,MZ,1,100,-57
1752619997.368385,503140.000,14308,3,MZ,1,100,-57
1752619997.408386,503180.000,14308,3,MZ,1,100,-57
1752619997.447886,503219.500,14325,2,MZ,1,100,-58
1752619997.487386,503259.000,14325,2,MZ,1,100,-58
1752619997.527720,503299.333,14339,3,MZ,1,100,-57
1752619997.568054,503339.667,14339,3,MZ,1,100,-57
1752619997.608387,503380.000,14339,3,MZ,1,100,-57
1752619997.647888,503419.500,14357,2,MZ,1,100,-58
1752619997.687388,503459.000,14357,2,MZ,1,100,-57
1752619997.727722,503499.333,14373,3,MZ,1,100,-57
1752619997.768056,503539.667,14373,3,MZ,1,100,-56
1752619997.808389,503580.000,14373,3,MZ,1,100,-57
1752619997.847890,503619.500,14394,2,MZ,1,100,-58
1752619997.887390,503659.000,14394,2,MZ,1,100,-57
1752619997.927724,503699.333,14408,3,MZ,1,100,-57
