LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1752622340.572633,152519.000,22930,2,MY,1,100,143
1752622340.612633,152559.000,22949,3,MY,1,100,143
1752622340.652633,152599.000,22949,3,MY,1,100,143
1752622340.692634,152639.000,22949,3,MY,1,100,142
1752622340.732134,152678.500,22963,2,MY,1,100,143
1752622340.771634,152718.000,22963,2,MY,1,100,142
1752622340.811635,152758.000,22983,3,MY,1,100,142
1752622340.851635,152798.000,22983,3,MY,1,100,142
1752622340.891635,152838.000,22983,3,MY,1,100,143
1752622340.931636,152878.000,22999,2,MY,1,100,142
1752622340.971636,152918.000,22999,2,MY,1,100,143
1752622341.011636,152958.000,23018,3,MY,1,100,143
1752622341.051636,152998.000,23018,3,MY,1,100,142
1752622341.091637,153038.000,23018,3,MY,1,100,143
1752622341.131637,153078.000,23033,2,MY,1,100,143
1752622341.171637,153118.000,23033,2,MY,1,100,143
1752622341.211638,153158.000,23050,3,MY,1,100,142
1752622341.251638,153198.000,23050,3,MY,1,100,143
1752622341.291638,153238.000,23050,3,MY,1,100,143
1752622341.331639,153278.000,23066,2,MY,1,100,143
1752622341.371639,153318.000,23066,2,MY,1,100,143
1752622341.411639,153358.000,23083,3,MY,1,100,143
1752622341.451640,153398.000,23083,3,MY,1,100,143
1752622341.491640,153438.000,23083,3,MY,1,100,143
1752622341.531640,153478.000,23102,3,MY,1,100,142
1752622341.571641,153518.000,23102,3,MY,1,100,142
1752622341.611641,153558.000,23102,3,MY,1,100,143
1752622341.652141,153598.500,23119,2,MY,1,100,143
1752622341.692641,153639.000,23119,2,MY,1,100,142
1752622341.732308,153678.667,23135,3,MY,1,100,142
1752622341.771975,153718.333,23135,3,MY,1,100,143
1752622341.811642,153758.000,23135,3,MY,1,100,143
1752622341.852143,153798.500,23153,2,MY,1,100,143
1752622341.892643,153839.000,23153,2,MY,1,100,143
1752622341.932643,153879.000,23169,3,MY,1,100,144
1752622341.972644,153919.000,23169,3,MY,1,100,143
1752622342.012644,153959.000,23169,3,MY,1,100,143
1752622342.052144,153998.500,23189,2,MY,1,100,142
1752622342.091645,154038.000,23189,2,MY,1,100,142
1752622342.131645,154078.000,23208,3,MY,1,100,142
1752622342.171645,154118.000,23208,3,MY,1,100,142
1752622342.211646,154158.000,23208,3,MY,1,100,143
1752622342.251646,154198.000,23225,2,MY,1,100,143
1752622342.291646,154238.000,23225,2,MY,1,100,143
1752622342.331646,154278.000,23243,3,MY,1,100,143
1752622342.371647,154318.000,23243,3,MY,1,100,142
1752622342.411647,154358.000,23243,3,MY,1,100,142
1752622342.447647,154394.000,23258,3,MY,1,100,143
1752622342.483648,154430.000,23258,3,MY,1,100,142
1752622342.519648,154466.000,23258,3,MY,1,100,143
1752622342.559648,154506.000,23275,2,MY,1,100,142
1752622342.599649,154546.000,23275,2,MY,1,100,142
1752622342.639649,154586.000,23294,3,MY,1,100,144
1752622342.679649,154626.000,23294,3,MY,1,100,143
1752622342.719650,154666.000,23294,3,MY,1,100,143
1752622342.759650,154706.000,23310,2,MY,1,100,143
1752622342.799650,154746.000,23310,2,MY,1,100,142
1752622342.839650,154786.000,23326,3,MY,1,100,142
1752622342.879651,154826.000,23326,3,MY,1,100,143
1752622342.919651,154866.000,23326,3,MY,1,100,143
1752622342.959651,154906.000,23342,2,MY,1,100,142
1752622342.999652,154946.000,23342,2,MY,1,100,143
1752622343.039652,154986.000,23361,3,MY,1,100,142
1752622343.079652,155026.000,23361,3,MY,1,100,142
1752622343.119653,155066.000,23361,3,MY,1,100,143
1752622343.159653,155106.000,23380,3,MY,1,100,143
1752622343.199653,155146.000,23380,3,MY,1,100,142
1752622343.239654,155186.000,23380,3,MY,1,100,144
1752622343.279654,155226.000,23396,2,MY,1,100,143
1752622343.319654,155266.000,23396,2,MY,1,100,143
1752622343.359655,155306.000,23413,3,MY,1,100,142
1752622343.399655,155346.000,23413,3,MY,1,100,142
1752622343.439655,155386.000,23413,3,MY,1,100,142
1752622343.479655,155426.000,23431,2,MY,1,100,142
1752622343.519656,155466.000,23431,2,MY,1,100,142
1752622343.559656,155506.000,23447,3,MY,1,100,143
1752622343.599656,155546.000,23447,3,MY,1,100,142
1752622343.639657,155586.000,23447,3,MY,1,100,142
1752622343.679657,155626.000,23464,2,MY,1,100,143
1752622343.719657,155666.000,23464,2,MY,1,100,142
1752622343.759324,155705.667,23480,3,MY,1,100,142
1752622343.798991,155745.333,23480,3,MY,1,100,142
1752622343.838658,155785.000,23480,3,MY,1,100,144
1752622343.879159,155825.500,23500,2,MY,1,100,142
1752622343.919659,155866.000,23500,2,MY,1,100,142
1752622343.959326,155905.667,23516,3,MY,1,100,143
1752622343.998993,155945.333,23516,3,MY,1,100,142
1752622344.038660,155985.000,23516,3,MY,1,100,143
1752622344.079160,156025.500,23533,2,MY,1,100,143
1752622344.119660,156066.000,23533,2,MY,1,100,143
1752622344.159661,156106.000,23548,3,MY,1,100,143
1752622344.199661,156146.000,23548,3,MY,1,100,142
1752622344.239661,156186.000,23548,3,MY,1,100,143
1752622344.279328,156225.667,23565,3,MY,1,100,143
1752622344.318995,156265.333,23565,3,MY,1,100,143
1752622344.358662,156305.000,23565,3,MY,1,100,143
1752622344.398663,156345.000,23581,2,MY,1,100,142
1752622344.438663,156385.000,23581,2,MY,1,100,143
1752622344.478663,156425.000,23601,3,MY,1,100,143
1752622344.518664,156465.000,23601,3,MY,1,100,142
1752622344.558664,156505.000,23601,3,MY,1,100,143
1752622344.598664,156545.000,23617,2,MY,1,100,142
1752622344.638665,156585.000,23617,2,MY,1,100,143
1752622344.678665,156625.000,23634,3,MY,1,100,143
1752622344.718665,156665.000,23634,3,MY,1,100,143
1752622344.758665,156705.000,23634,3,MY,1,100,143
1752622344.798666,156745.000,23650,2,MY,1,100,143
1752622344.838666,156785.000,23650,2,MY,1,100,143
1752622344.878666,156825.000,23670,3,MY,1,100,143
1752622344.918667,156865.000,23670,3,MY,1,100,143
1752622344.958667,156905.000,23670,3,MY,1,100,142
1752622344.998667,156945.000,23684,2,MY,1,100,143
1752622345.038668,156985.000,23684,2,MY,1,100,143
1752622345.078668,157025.000,23701,3,MY,1,100,143
1752622345.118668,157065.000,23701,3,MY,1,100,143
1752622345.158669,157105.000,23701,3,MY,1,100,142
1752622345.198669,157145.000,23718,2,MY,1,100,143
1752622345.238669,157185.000,23718,2,MY,1,100,143
1752622345.278670,157225.000,23739,3,MY,1,100,142
1752622345.318670,157265.000,23739,3,MY,1,100,143
1752622345.358670,157305.000,23739,3,MY,1,100,144
1752622345.398670,157345.000,23754,2,MY,1,100,142
1752622345.438671,157385.000,23754,2,MY,1,100,143
1752622345.478671,157425.000,23771,3,MY,1,100,143
1752622345.518671,157465.000,23771,3,MY,1,100,142
1752622345.558672,157505.000,23771,3,MY,1,100,142
1752622345.598672,157545.000,23787,3,MY,1,100,143
1752622345.638672,157585.000,23787,3,MY,1,100,143
1752622345.678673,157625.000,23787,3,MY,1,100,143
1752622345.718673,157665.000,23806,2,MY,1,100,142
1752622345.758673,157705.000,23806,2,MY,1,100,142
1752622345.798674,157745.000,23823,3,MY,1,100,143
1752622345.838674,157785.000,23823,3,MY,1,100,143
1752622345.878674,157825.000,23823,3,MY,1,100,143
1752622345.918675,157865.000,23838,2,MY,1,100,143
1752622345.958675,157905.000,23838,2,MY,1,100,142
1752622345.998675,157945.000,23858,3,MY,1,100,143
1752622346.038675,157985.000,23858,3,MY,1,100,143
1752622346.078676,158025.000,23858,3,MY,1,100,143
1752622346.118676,158065.000,23875,2,MY,1,100,144
