LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1752703222.972509,501656.000,14783,2,MX,1,100,-104
1752703223.012509,501696.000,14783,2,MX,1,100,-105
1752703223.052509,501736.000,14798,3,MX,1,100,-105
1752703223.092509,501776.000,14798,3,MX,1,100,-104
1752703223.132509,501816.000,14798,3,MX,1,100,-104
1752703223.172509,501856.000,14818,3,MX,1,100,-104
1752703223.212509,501896.000,14818,3,MX,1,100,-104
1752703223.252509,501936.000,14818,3,MX,1,100,-104
1752703223.292509,501976.000,14834,2,MX,1,100,-104
1752703223.332509,502016.000,14834,2,MX,1,100,-105
1752703223.372510,502056.000,14851,3,MX,1,100,-104
1752703223.412510,502096.000,14851,3,MX,1,100,-104
1752703223.452510,502136.000,14851,3,MX,1,100,-104
1752703223.492510,502176.000,14868,2,MX,1,100,-104
1752703223.532510,502216.000,14868,2,MX,1,100,-104
1752703223.572510,502256.000,14885,3,MX,1,100,-105
1752703223.612510,502296.000,14885,3,MX,1,100,-105
1752703223.652510,502336.000,14885,3,MX,1,100,-104
1752703223.692510,502376.000,14903,2,MX,1,100,-105
1752703223.732510,502416.000,14903,2,MX,1,100,-105
1752703223.772510,502456.000,14921,3,MX,1,100,-104
1752703223.812511,502496.000,14921,3,MX,1,100,-105
1752703223.852511,502536.000,14921,3,MX,1,100,-104
1752703223.888177,502571.667,14935,3,MX,1,100,-104
1752703223.923844,502607.333,14935,3,MX,1,100,-106
1752703223.959511,502643.000,14935,3,MX,1,100,-105
1752703223.999511,502683.000,14952,2,MX,1,100,-106
1752703224.039511,502723.000,14952,2,MX,1,100,-107
1752703224.079511,502763.000,14970,3,MX,1,100,-107
1752703224.119511,502803.000,14970,3,MX,1,100,-107
1752703224.159511,502843.000,14970,3,MX,1,100,-106
1752703224.199511,502883.000,14988,2,MX,1,100,-110
1752703224.239512,502923.000,14988,2,MX,1,100,-109
1752703224.279512,502963.000,15004,3,MX,1,100,-109
1752703224.319512,503003.000,15004,3,MX,1,100,-110
1752703224.359512,503043.000,15004,3,MX,1,100,-110
1752703224.399512,503083.000,15021,2,MX,1,100,-111
1752703224.439512,503123.000,15021,2,MX,1,100,-111
1752703224.479512,503163.000,15038,3,MX,1,100,-111
1752703224.519512,503203.000,15038,3,MX,1,100,-111
1752703224.559512,503243.000,15038,3,MX,1,100,-111
1752703224.599012,503282.500,15055,2,MX,1,100,-112
1752703224.638512,503322.000,15055,2,MX,1,100,-113
1752703224.678846,503362.333,15069,3,MX,1,100,-113
1752703224.719179,503402.667,15069,3,MX,1,100,-113
1752703224.759513,503443.000,15069,3,MX,1,100,-112
1752703224.799513,503483.000,15087,3,MX,1,100,-112
1752703224.839513,503523.000,15087,3,MX,1,100,-113
1752703224.879513,503563.000,15087,3,MX,1,100,-112
1752703224.919013,503602.500,15105,2,MX,1,100,-112
1752703224.958513,503642.000,15105,2,MX,1,100,-110
1752703224.998847,503682.333,15127,3,MX,1,100,-111
1752703225.039180,503722.667,15127,3,MX,1,100,-110
1752703225.079513,503763.000,15127,3,MX,1,100,-111
1752703225.119514,503803.000,15142,2,MX,1,100,-109
