LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1752621173.683188,77562.000,10729,3,AZ,1,100,0.145
1752621173.723189,77602.000,10729,3,AZ,1,100,0.147
1752621173.763189,77642.000,10746,2,AZ,1,100,0.151
1752621173.803189,77682.000,10746,2,AZ,1,100,0.148
1752621173.843190,77722.000,10762,3,AZ,1,100,0.149
1752621173.883190,77762.000,10762,3,AZ,1,100,0.156
1752621173.923190,77802.000,10762,3,AZ,1,100,0.153
1752621173.963191,77842.000,10780,2,AZ,1,100,0.154
1752621174.003191,77882.000,10780,2,AZ,1,100,0.149
1752621174.043191,77922.000,10797,3,AZ,1,100,0.152
1752621174.083192,77962.000,10797,3,AZ,1,100,0.154
1752621174.123192,78002.000,10797,3,AZ,1,100,0.152
1752621174.163192,78042.000,10813,3,AZ,1,100,0.152
1752621174.203193,78082.000,10813,3,AZ,1,100,0.146
1752621174.243193,78122.000,10813,3,AZ,1,100,0.155
1752621174.283193,78162.000,10829,2,AZ,1,100,0.153
1752621174.323194,78202.000,10829,2,AZ,1,100,0.158
1752621174.363194,78242.000,10847,3,AZ,1,100,0.157
1752621174.403194,78282.000,10847,3,AZ,1,100,0.154
1752621174.443195,78322.000,10847,3,AZ,1,100,0.154
1752621174.483195,78362.000,10862,2,AZ,1,100,0.148
1752621174.523196,78402.000,10862,2,AZ,1,100,0.150
1752621174.563196,78442.000,10880,3,AZ,1,100,0.153
1752621174.603196,78482.000,10880,3,AZ,1,100,0.153
1752621174.643197,78522.000,10880,3,AZ,1,100,0.156
1752621174.683197,78562.000,10897,2,AZ,1,100,0.161
1752621174.723197,78602.000,10897,2,AZ,1,100,0.157
1752621174.763198,78642.000,10914,3,AZ,1,100,0.160
1752621174.803198,78682.000,10914,3,AZ,1,100,0.158
1752621174.843198,78722.000,10914,3,AZ,1,100,0.166
1752621174.883199,78762.000,10932,2,AZ,1,100,0.157
1752621174.923199,78802.000,10932,2,AZ,1,100,0.161
1752621174.962866,78841.667,10948,3,AZ,1,100,0.162
1752621175.002533,78881.333,10948,3,AZ,1,100,0.162
1752621175.042200,78921.000,10948,3,AZ,1,100,0.164
1752621175.082700,78961.500,10966,2,AZ,1,100,0.160
1752621175.123201,79002.000,10966,2,AZ,1,100,0.166
1752621175.163201,79042.000,10989,5,AZ,1,100,0.160
1752621175.203201,79082.000,10989,5,AZ,1,100,0.160
1752621175.243202,79122.000,10989,5,AZ,1,100,0.162
1752621175.283202,79162.000,10989,5,AZ,1,100,0.168
1752621175.323202,79202.000,10989,5,AZ,1,100,0.158
1752621175.362869,79241.667,11004,3,AZ,1,100,0.162
1752621175.402536,79281.333,11004,3,AZ,1,100,0.164
1752621175.442203,79321.000,11004,3,AZ,1,100,0.156
1752621175.482204,79361.000,11020,2,AZ,1,100,0.158
1752621175.522204,79401.000,11020,2,AZ,1,100,0.156
1752621175.562204,79441.000,11037,3,AZ,1,100,0.154
1752621175.602205,79481.000,11037,3,AZ,1,100,0.155
1752621175.642205,79521.000,11037,3,AZ,1,100,0.158
1752621175.682205,79561.000,11058,2,AZ,1,100,0.163
1752621175.722206,79601.000,11058,2,AZ,1,100,0.163
1752621175.762206,79641.000,11073,3,AZ,1,100,0.163
1752621175.802206,79681.000,11073,3,AZ,1,100,0.161
1752621175.842207,79721.000,11073,3,AZ,1,100,0.165
1752621175.882207,79761.000,11089,3,AZ,1,100,0.163
1752621175.922207,79801.000,11089,3,AZ,1,100,0.159
1752621175.962208,79841.000,11089,3,AZ,1,100,0.163
1752621176.002208,79881.000,11107,2,AZ,1,100,0.159
1752621176.042208,79921.000,11107,2,AZ,1,100,0.165
1752621176.082209,79961.000,11123,3,AZ,1,100,0.165
1752621176.122209,80001.000,11123,3,AZ,1,100,0.167
1752621176.162209,80041.000,11123,3,AZ,1,100,0.166
1752621176.202210,80081.000,11138,2,AZ,1,100,0.163
1752621176.242210,80121.000,11138,2,AZ,1,100,0.165
1752621176.282210,80161.000,11159,3,AZ,1,100,0.164
1752621176.322211,80201.000,11159,3,AZ,1,100,0.167
1752621176.362211,80241.000,11159,3,AZ,1,100,0.162
1752621176.402711,80281.500,11176,2,AZ,1,100,0.169
1752621176.443212,80322.000,11176,2,AZ,1,100,0.167
1752621176.482879,80361.667,11194,3,AZ,1,100,0.168
1752621176.522546,80401.333,11194,3,AZ,1,100,0.163
1752621176.562213,80441.000,11194,3,AZ,1,100,0.163
1752621176.602213,80481.000,11209,2,AZ,1,100,0.165
1752621176.642213,80521.000,11209,2,AZ,1,100,0.164
1752621176.682214,80561.000,11226,3,AZ,1,100,0.163
1752621176.722214,80601.000,11226,3,AZ,1,100,0.162
1752621176.762214,80641.000,11226,3,AZ,1,100,0.159
1752621176.802715,80681.500,11243,2,AZ,1,100,0.163
1752621176.843215,80722.000,11243,2,AZ,1,100,0.162
1752621176.882882,80761.667,11259,3,AZ,1,100,0.160
1752621176.922549,80801.333,11259,3,AZ,1,100,0.159
1752621176.962216,80841.000,11259,3,AZ,1,100,0.156
1752621177.002217,80881.000,11276,2,AZ,1,100,0.161
1752621177.042217,80921.000,11276,2,AZ,1,100,0.162
1752621177.082217,80961.000,11293,3,AZ,1,100,0.165
1752621177.122218,81001.000,11293,3,AZ,1,100,0.164
1752621177.162218,81041.000,11293,3,AZ,1,100,0.164
1752621177.202218,81081.000,11310,3,AZ,1,100,0.163
1752621177.242219,81121.000,11310,3,AZ,1,100,0.164
1752621177.282219,81161.000,11310,3,AZ,1,100,0.173
1752621177.322219,81201.000,11327,2,AZ,1,100,0.176
1752621177.362220,81241.000,11327,2,AZ,1,100,0.178
1752621177.397887,81276.667,11344,3,AZ,1,100,0.173
1752621177.433553,81312.333,11344,3,AZ,1,100,0.173
1752621177.469220,81348.000,11344,3,AZ,1,100,0.176
1752621177.509221,81388.000,11358,2,AZ,1,100,0.175
1752621177.549221,81428.000,11358,2,AZ,1,100,0.175
1752621177.589221,81468.000,11378,3,AZ,1,100,0.176
1752621177.629222,81508.000,11378,3,AZ,1,100,0.175
1752621177.669222,81548.000,11378,3,AZ,1,100,0.178
1752621177.709222,81588.000,11394,2,AZ,1,100,0.179
1752621177.749223,81628.000,11394,2,AZ,1,100,0.177
1752621177.789223,81668.000,11413,3,AZ,1,100,0.174
1752621177.829224,81708.000,11413,3,AZ,1,100,0.175
1752621177.869224,81748.000,11413,3,AZ,1,100,0.173
1752621177.909224,81788.000,11427,3,AZ,1,100,0.176
1752621177.949225,81828.000,11427,3,AZ,1,100,0.173
1752621177.989225,81868.000,11427,3,AZ,1,100,0.175
1752621178.029225,81908.000,11447,2,AZ,1,100,0.183
1752621178.069226,81948.000,11447,2,AZ,1,100,0.182
1752621178.109226,81988.000,11463,3,AZ,1,100,0.178
1752621178.149226,82028.000,11463,3,AZ,1,100,0.176
1752621178.189227,82068.000,11463,3,AZ,1,100,0.175
1752621178.229227,82108.000,11480,2,AZ,1,100,0.180
1752621178.269227,82148.000,11480,2,AZ,1,100,0.176
1752621178.309228,82188.000,11495,3,AZ,1,100,0.181
1752621178.349228,82228.000,11495,3,AZ,1,100,0.180
1752621178.389228,82268.000,11495,3,AZ,1,100,0.184
1752621178.429229,82308.000,11514,2,AZ,1,100,0.186
1752621178.469229,82348.000,11514,2,AZ,1,100,0.185
1752621178.509229,82388.000,11532,3,AZ,1,100,0.186
1752621178.549230,82428.000,11532,3,AZ,1,100,0.183
1752621178.589230,82468.000,11532,3,AZ,1,100,0.184
1752621178.629730,82508.500,11550,2,AZ,1,100,0.184
1752621178.670231,82549.000,11550,2,AZ,1,100,0.183
1752621178.709898,82588.667,11566,3,AZ,1,100,0.182
1752621178.749565,82628.333,11566,3,AZ,1,100,0.181
1752621178.789232,82668.000,11566,3,AZ,1,100,0.180
1752621178.829232,82708.000,11583,2,AZ,1,100,0.180
1752621178.869232,82748.000,11583,2,AZ,1,100,0.180
1752621178.909233,82788.000,11599,3,AZ,1,100,0.177
1752621178.949233,82828.000,11599,3,AZ,1,100,0.179
1752621178.989233,82868.000,11599,3,AZ,1,100,0.179
1752621179.029234,82908.000,11617,2,AZ,1,100,0.183
1752621179.069234,82948.000,11617,2,AZ,1,100,0.183
1752621179.109234,82988.000,11631,3,AZ,1,100,0.177
1752621179.149235,83028.000,11631,3,AZ,1,100,0.178
1752621179.189235,83068.000,11631,3,AZ,1,100,0.182
1752621179.229235,83108.000,11648,2,AZ,1,100,0.178
1752621179.269236,83148.000,11648,2,AZ,1,100,0.180
1752621179.309236,83188.000,11667,3,AZ,1,100,0.177
1752621179.349236,83228.000,11667,3,AZ,1,100,0.179
1752621179.389237,83268.000,11667,3,AZ,1,100,0.180
1752621179.429237,83308.000,11684,3,AZ,1,100,0.177
1752621179.469237,83348.000,11684,3,AZ,1,100,0.175
1752621179.509238,83388.000,11684,3,AZ,1,100,0.177
1752621179.549238,83428.000,11701,2,AZ,1,100,0.176
1752621179.589238,83468.000,11701,2,AZ,1,100,0.178
1752621179.629239,83508.000,11718,3,AZ,1,100,0.175
1752621179.669239,83548.000,11718,3,AZ,1,100,0.177
1752621179.709239,83588.000,11718,3,AZ,1,100,0.180
1752621179.749240,83628.000,11734,2,AZ,1,100,0.178
1752621179.789240,83668.000,11734,2,AZ,1,100,0.177
1752621179.829240,83708.000,11751,3,AZ,1,100,0.176
1752621179.869241,83748.000,11751,3,AZ,1,100,0.174
