LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1752172668.775832,274316.000,43534,3,GY,1,100,0.885
1752172668.815832,274356.000,43534,3,GY,1,100,0.610
1752172668.855833,274396.000,43551,2,GY,1,100,0.580
1752172668.895833,274436.000,43551,2,GY,1,100,0.977
1752172668.936167,274476.333,43569,3,GY,1,100,0.854
1752172668.976500,274516.667,43569,3,GY,1,100,0.397
1752172669.016834,274557.000,43569,3,GY,1,100,0.092
1752172669.056334,274596.500,43587,2,GY,1,100,-0.061
1752172669.095835,274636.000,43587,2,GY,1,100,0.092
1752172669.136168,274676.333,43603,3,GY,1,100,0.366
1752172669.176502,274716.667,43603,3,GY,1,100,-0.366
1752172669.216836,274757.000,43603,3,GY,1,100,0.153
1752172669.256836,274797.000,43620,2,GY,1,100,0.641
1752172669.296836,274837.000,43620,2,GY,1,100,0.519
1752172669.336837,274877.000,43635,3,GY,1,100,0.397
1752172669.376837,274917.000,43635,3,GY,1,100,-0.275
1752172669.416837,274957.000,43635,3,GY,1,100,0.000
1752172669.456838,274997.000,43654,2,GY,1,100,0.458
1752172669.496838,275037.000,43654,2,GY,1,100,0.427
1752172669.536838,275077.000,43672,3,GY,1,100,0.519
1752172669.576839,275117.000,43672,3,GY,1,100,0.488
1752172669.616839,275157.000,43672,3,GY,1,100,0.702
1752172669.656839,275197.000,43692,2,GY,1,100,0.519
1752172669.696840,275237.000,43692,2,GY,1,100,0.488
1752172669.736840,275277.000,43706,3,GY,1,100,0.092
1752172669.776840,275317.000,43706,3,GY,1,100,0.336
1752172669.816841,275357.000,43706,3,GY,1,100,1.556
1752172669.856841,275397.000,43725,2,GY,1,100,0.977
1752172669.896841,275437.000,43725,2,GY,1,100,0.183
1752172669.936842,275477.000,43741,3,GY,1,100,0.427
1752172669.976842,275517.000,43741,3,GY,1,100,-0.061
1752172670.016842,275557.000,43741,3,GY,1,100,0.031
1752172670.056843,275597.000,43763,3,GY,1,100,0.580
1752172670.096843,275637.000,43763,3,GY,1,100,0.793
1752172670.136843,275677.000,43763,3,GY,1,100,0.854
1752172670.176844,275717.000,43778,2,GY,1,100,0.824
1752172670.216844,275757.000,43778,2,GY,1,100,0.183
1752172670.256844,275797.000,43796,3,GY,1,100,-0.580
1752172670.296845,275837.000,43796,3,GY,1,100,0.427
1752172670.336845,275877.000,43796,3,GY,1,100,2.319
1752172670.376845,275917.000,43813,2,GY,1,100,2.625
1752172670.416845,275957.000,43813,2,GY,1,100,1.465
1752172670.456846,275997.000,43832,3,GY,1,100,0.397
1752172670.496846,276037.000,43832,3,GY,1,100,-1.343
1752172670.536846,276077.000,43832,3,GY,1,100,-1.862
1752172670.576847,276117.000,43847,2,GY,1,100,-0.458
1752172670.616847,276157.000,43847,2,GY,1,100,0.214
1752172670.656847,276197.000,43866,3,GY,1,100,0.946
1752172670.696848,276237.000,43866,3,GY,1,100,1.373
1752172670.736848,276277.000,43866,3,GY,1,100,0.854
1752172670.776848,276317.000,43884,2,GY,1,100,-0.031
1752172670.816849,276357.000,43884,2,GY,1,100,-0.427
1752172670.856849,276397.000,43901,3,GY,1,100,0.000
1752172670.896849,276437.000,43901,3,GY,1,100,0.458
1752172670.936850,276477.000,43901,3,GY,1,100,2.014
1752172670.976850,276517.000,43920,2,GY,1,100,3.571
1752172671.016850,276557.000,43920,2,GY,1,100,2.930
1752172671.056851,276597.000,43935,3,GY,1,100,2.075
1752172671.096851,276637.000,43935,3,GY,1,100,-0.092
1752172671.136851,276677.000,43935,3,GY,1,100,-2.106
1752172671.176852,276717.000,43955,2,GY,1,100,-2.045
1752172671.216852,276757.000,43955,2,GY,1,100,-0.641
1752172671.256852,276797.000,43972,3,GY,1,100,0.885
1752172671.296853,276837.000,43972,3,GY,1,100,1.648
1752172671.336853,276877.000,43972,3,GY,1,100,2.075
1752172671.376853,276917.000,43991,2,GY,1,100,2.441
1752172671.416854,276957.000,43991,2,GY,1,100,1.801
1752172671.456854,276997.000,44006,3,GY,1,100,2.777
1752172671.496854,277037.000,44006,3,GY,1,100,3.754
1752172671.536855,277077.000,44006,3,GY,1,100,3.204
1752172671.576855,277117.000,44024,3,GY,1,100,2.686
1752172671.616855,277157.000,44024,3,GY,1,100,2.380
1752172671.656856,277197.000,44024,3,GY,1,100,1.587
1752172671.696856,277237.000,44042,2,GY,1,100,2.228
1752172671.736856,277277.000,44042,2,GY,1,100,3.143
1752172671.776857,277317.000,44060,3,GY,1,100,3.937
1752172671.816857,277357.000,44060,3,GY,1,100,3.143
1752172671.856857,277397.000,44060,3,GY,1,100,2.136
1752172671.896858,277437.000,44077,2,GY,1,100,1.251
1752172671.936858,277477.000,44077,2,GY,1,100,1.709
1752172671.976858,277517.000,44094,3,GY,1,100,0.305
1752172672.016859,277557.000,44094,3,GY,1,100,-1.099
1752172672.056859,277597.000,44094,3,GY,1,100,-1.556
1752172672.096859,277637.000,44111,2,GY,1,100,-2.350
1752172672.136859,277677.000,44111,2,GY,1,100,-2.808
1752172672.172193,277712.333,44127,3,GY,1,100,-3.204
1752172672.207527,277747.667,44127,3,GY,1,100,-1.923
1752172672.242860,277783.000,44127,3,GY,1,100,3.265
1752172672.282861,277823.000,44144,3,GY,1,100,8.270
1752172672.322861,277863.000,44144,3,GY,1,100,8.972
1752172672.362861,277903.000,44144,3,GY,1,100,4.120
1752172672.402862,277943.000,44161,2,GY,1,100,-1.099
1752172672.442862,277983.000,44161,2,GY,1,100,-0.366
1752172672.482862,278023.000,44178,3,GY,1,100,1.007
1752172672.522863,278063.000,44178,3,GY,1,100,3.845
1752172672.562863,278103.000,44178,3,GY,1,100,8.270
1752172672.602863,278143.000,44201,3,GY,1,100,3.021
1752172672.642864,278183.000,44201,3,GY,1,100,-1.862
1752172672.682864,278223.000,44201,3,GY,1,100,1.587
1752172672.722864,278263.000,44217,3,GY,1,100,2.045
1752172672.762865,278303.000,44217,3,GY,1,100,-2.411
1752172672.802865,278343.000,44217,3,GY,1,100,-3.571
1752172672.842865,278383.000,44236,2,GY,1,100,0.519
