LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1752172674.442878,279983.000,44509,3,MZ,1,100,-76
1752172674.482879,280023.000,44509,3,MZ,1,100,-77
1752172674.522879,280063.000,44509,3,MZ,1,100,-76
1752172674.562879,280103.000,44526,2,MZ,1,100,-77
1752172674.602880,280143.000,44526,2,MZ,1,100,-76
1752172674.642547,280182.667,44545,3,MZ,1,100,-77
1752172674.682214,280222.333,44545,3,MZ,1,100,-76
1752172674.721881,280262.000,44545,3,MZ,1,100,-76
1752172674.762214,280302.333,44561,3,MZ,1,100,-75
1752172674.802548,280342.667,44561,3,MZ,1,100,-76
1752172674.842881,280383.000,44561,3,MZ,1,100,-76
1752172674.882382,280422.500,44578,2,MZ,1,100,-75
1752172674.921882,280462.000,44578,2,MZ,1,100,-76
1752172674.962216,280502.333,44595,3,MZ,1,100,-76
1752172675.002549,280542.667,44595,3,MZ,1,100,-76
1752172675.042883,280583.000,44595,3,MZ,1,100,-76
1752172675.082383,280622.500,44614,2,MZ,1,100,-76
1752172675.121884,280662.000,44614,2,MZ,1,100,-75
1752172675.161884,280702.000,44630,3,MZ,1,100,-75
1752172675.201884,280742.000,44630,3,MZ,1,100,-76
1752172675.241885,280782.000,44630,3,MZ,1,100,-76
1752172675.281885,280822.000,44647,2,MZ,1,100,-76
1752172675.321885,280862.000,44647,2,MZ,1,100,-76
1752172675.361886,280902.000,44664,3,MZ,1,100,-76
1752172675.401886,280942.000,44664,3,MZ,1,100,-76
1752172675.441886,280982.000,44664,3,MZ,1,100,-75
1752172675.481887,281022.000,44679,2,MZ,1,100,-77
1752172675.521887,281062.000,44679,2,MZ,1,100,-76
1752172675.562221,281102.333,44697,3,MZ,1,100,-75
1752172675.602554,281142.667,44697,3,MZ,1,100,-76
1752172675.642888,281183.000,44697,3,MZ,1,100,-76
1752172675.682388,281222.500,44715,2,MZ,1,100,-76
1752172675.721889,281262.000,44715,2,MZ,1,100,-76
1752172675.762222,281302.333,44733,3,MZ,1,100,-76
1752172675.802556,281342.667,44733,3,MZ,1,100,-77
1752172675.842890,281383.000,44733,3,MZ,1,100,-77
1752172675.882890,281423.000,44748,2,MZ,1,100,-76
1752172675.922890,281463.000,44748,2,MZ,1,100,-76
1752172675.958557,281498.667,44765,3,MZ,1,100,-76
1752172675.994224,281534.333,44765,3,MZ,1,100,-77
1752172676.029891,281570.000,44765,3,MZ,1,100,-76
1752172676.069891,281610.000,44782,3,MZ,1,100,-76
1752172676.109892,281650.000,44782,3,MZ,1,100,-75
1752172676.149892,281690.000,44782,3,MZ,1,100,-77
1752172676.189892,281730.000,44800,2,MZ,1,100,-76
1752172676.229893,281770.000,44800,2,MZ,1,100,-76
1752172676.269893,281810.000,44815,3,MZ,1,100,-77
1752172676.309893,281850.000,44815,3,MZ,1,100,-76
1752172676.349894,281890.000,44815,3,MZ,1,100,-76
1752172676.389894,281930.000,44834,2,MZ,1,100,-76
1752172676.429894,281970.000,44834,2,MZ,1,100,-77
1752172676.469895,282010.000,44851,3,MZ,1,100,-76
1752172676.509895,282050.000,44851,3,MZ,1,100,-78
1752172676.549895,282090.000,44851,3,MZ,1,100,-77
1752172676.589896,282130.000,44867,3,MZ,1,100,-76
1752172676.629896,282170.000,44867,3,MZ,1,100,-75
1752172676.669896,282210.000,44867,3,MZ,1,100,-76
1752172676.709897,282250.000,44886,2,MZ,1,100,-77
1752172676.749897,282290.000,44886,2,MZ,1,100,-76
1752172676.789897,282330.000,44901,3,MZ,1,100,-75
1752172676.829898,282370.000,44901,3,MZ,1,100,-77
1752172676.869898,282410.000,44901,3,MZ,1,100,-77
1752172676.909898,282450.000,44920,2,MZ,1,100,-77
1752172676.949899,282490.000,44920,2,MZ,1,100,-77
1752172676.989899,282530.000,44937,3,MZ,1,100,-76
1752172677.029899,282570.000,44937,3,MZ,1,100,-76
1752172677.069900,282610.000,44937,3,MZ,1,100,-77
1752172677.109900,282650.000,44954,2,MZ,1,100,-77
1752172677.149900,282690.000,44954,2,MZ,1,100,-75
1752172677.189901,282730.000,44970,3,MZ,1,100,-77
1752172677.229901,282770.000,44970,3,MZ,1,100,-77
1752172677.269901,282810.000,44970,3,MZ,1,100,-77
1752172677.309902,282850.000,44988,2,MZ,1,100,-78
1752172677.349902,282890.000,44988,2,MZ,1,100,-76
1752172677.389902,282930.000,45004,3,MZ,1,100,-77
1752172677.429903,282970.000,45004,3,MZ,1,100,-76
1752172677.469903,283010.000,45004,3,MZ,1,100,-76
1752172677.509903,283050.000,45021,2,MZ,1,100,-76
1752172677.549904,283090.000,45021,2,MZ,1,100,-76
1752172677.589571,283129.667,45035,3,MZ,1,100,-76
1752172677.629237,283169.333,45035,3,MZ,1,100,-77
1752172677.668904,283209.000,45035,3,MZ,1,100,-76
1752172677.708905,283249.000,45060,4,MZ,1,100,-76
1752172677.748905,283289.000,45060,4,MZ,1,100,-76
1752172677.788905,283329.000,45060,4,MZ,1,100,-76
1752172677.828906,283369.000,45060,4,MZ,1,100,-77
1752172677.869406,283409.500,45077,2,MZ,1,100,-76
1752172677.909906,283450.000,45077,2,MZ,1,100,-78
1752172677.949573,283489.667,45094,3,MZ,1,100,-76
1752172677.989240,283529.333,45094,3,MZ,1,100,-75
1752172678.028907,283569.000,45094,3,MZ,1,100,-76
1752172678.069408,283609.500,45113,2,MZ,1,100,-76
1752172678.109908,283650.000,45113,2,MZ,1,100,-76
1752172678.149575,283689.667,45129,3,MZ,1,100,-77
1752172678.189242,283729.333,45129,3,MZ,1,100,-76
1752172678.228909,283769.000,45129,3,MZ,1,100,-76
1752172678.268909,283809.000,45146,2,MZ,1,100,-76
1752172678.308910,283849.000,45146,2,MZ,1,100,-76
1752172678.348910,283889.000,45166,3,MZ,1,100,-77
1752172678.388910,283929.000,45166,3,MZ,1,100,-76
1752172678.428911,283969.000,45166,3,MZ,1,100,-76
1752172678.468911,284009.000,45182,2,MZ,1,100,-77
1752172678.508911,284049.000,45182,2,MZ,1,100,-77
1752172678.548912,284089.000,45201,3,MZ,1,100,-77
1752172678.588912,284129.000,45201,3,MZ,1,100,-76
1752172678.628912,284169.000,45201,3,MZ,1,100,-76
