LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1752622334.719587,146666.000,21940,3,AY,1,100,-0.015
1752622334.759587,146706.000,21940,3,AY,1,100,-0.002
1752622334.799588,146746.000,21940,3,AY,1,100,-0.003
1752622334.839588,146786.000,21958,2,AY,1,100,-0.001
1752622334.879588,146826.000,21958,2,AY,1,100,-0.004
1752622334.914922,146861.333,21977,3,AY,1,100,-0.004
1752622334.950255,146896.667,21977,3,AY,1,100,-0.016
1752622334.985589,146932.000,21977,3,AY,1,100,-0.015
1752622335.025589,146972.000,21993,3,AY,1,100,-0.007
1752622335.065590,147012.000,21993,3,AY,1,100,-0.012
1752622335.105590,147052.000,21993,3,AY,1,100,-0.013
1752622335.145590,147092.000,22011,2,AY,1,100,-0.019
1752622335.185591,147132.000,22011,2,AY,1,100,-0.013
1752622335.225591,147172.000,22029,3,AY,1,100,-0.010
1752622335.265591,147212.000,22029,3,AY,1,100,-0.018
1752622335.305592,147252.000,22029,3,AY,1,100,-0.011
1752622335.345592,147292.000,22048,2,AY,1,100,-0.014
1752622335.385592,147332.000,22048,2,AY,1,100,-0.012
1752622335.425593,147372.000,22064,3,AY,1,100,-0.010
1752622335.465593,147412.000,22064,3,AY,1,100,-0.005
1752622335.505593,147452.000,22064,3,AY,1,100,-0.004
1752622335.545593,147492.000,22084,2,AY,1,100,-0.019
1752622335.585594,147532.000,22084,2,AY,1,100,-0.031
1752622335.625594,147572.000,22098,3,AY,1,100,-0.042
1752622335.665594,147612.000,22098,3,AY,1,100,-0.014
1752622335.705595,147652.000,22098,3,AY,1,100,-0.017
1752622335.745595,147692.000,22117,2,AY,1,100,0.009
1752622335.785595,147732.000,22117,2,AY,1,100,0.025
1752622335.825596,147772.000,22134,3,AY,1,100,-0.007
1752622335.865596,147812.000,22134,3,AY,1,100,-0.009
1752622335.905596,147852.000,22134,3,AY,1,100,0.004
1752622335.945597,147892.000,22151,2,AY,1,100,-0.048
1752622335.985597,147932.000,22151,2,AY,1,100,-0.034
1752622336.025597,147972.000,22165,3,AY,1,100,-0.026
1752622336.065598,148012.000,22165,3,AY,1,100,-0.041
1752622336.105598,148052.000,22165,3,AY,1,100,-0.043
1752622336.145598,148092.000,22185,3,AY,1,100,-0.052
1752622336.185598,148132.000,22185,3,AY,1,100,-0.045
1752622336.225599,148172.000,22185,3,AY,1,100,-0.017
1752622336.265599,148212.000,22201,2,AY,1,100,-0.004
1752622336.305599,148252.000,22201,2,AY,1,100,-0.010
1752622336.345600,148292.000,22218,3,AY,1,100,-0.022
1752622336.385600,148332.000,22218,3,AY,1,100,-0.030
1752622336.425600,148372.000,22218,3,AY,1,100,-0.048
1752622336.465601,148412.000,22234,2,AY,1,100,-0.030
1752622336.505601,148452.000,22234,2,AY,1,100,-0.020
1752622336.545601,148492.000,22252,3,AY,1,100,-0.016
1752622336.585602,148532.000,22252,3,AY,1,100,-0.022
1752622336.625602,148572.000,22252,3,AY,1,100,-0.034
1752622336.665602,148612.000,22268,2,AY,1,100,-0.032
1752622336.705603,148652.000,22268,2,AY,1,100,-0.027
1752622336.745603,148692.000,22285,3,AY,1,100,-0.019
1752622336.785603,148732.000,22285,3,AY,1,100,-0.020
1752622336.825603,148772.000,22285,3,AY,1,100,-0.019
1752622336.865604,148812.000,22309,3,AY,1,100,-0.016
1752622336.905604,148852.000,22309,3,AY,1,100,-0.021
1752622336.945604,148892.000,22309,3,AY,1,100,-0.023
1752622336.985605,148932.000,22326,2,AY,1,100,-0.032
1752622337.025605,148972.000,22326,2,AY,1,100,-0.027
1752622337.065605,149012.000,22342,3,AY,1,100,-0.011
1752622337.105606,149052.000,22342,3,AY,1,100,-0.025
1752622337.145606,149092.000,22342,3,AY,1,100,-0.022
1752622337.185606,149132.000,22360,2,AY,1,100,-0.023
1752622337.225607,149172.000,22360,2,AY,1,100,-0.013
1752622337.265607,149212.000,22378,3,AY,1,100,-0.010
1752622337.305607,149252.000,22378,3,AY,1,100,-0.040
1752622337.345608,149292.000,22378,3,AY,1,100,-0.031
1752622337.385608,149332.000,22393,2,AY,1,100,-0.013
1752622337.425608,149372.000,22393,2,AY,1,100,-0.002
1752622337.465942,149412.333,22410,3,AY,1,100,-0.007
1752622337.506275,149452.667,22410,3,AY,1,100,-0.021
1752622337.546609,149493.000,22410,3,AY,1,100,-0.032
1752622337.586609,149533.000,22429,2,AY,1,100,-0.029
1752622337.626610,149573.000,22429,2,AY,1,100,-0.015
1752622337.666610,149613.000,22445,3,AY,1,100,-0.015
1752622337.706610,149653.000,22445,3,AY,1,100,-0.029
1752622337.746611,149693.000,22445,3,AY,1,100,-0.031
