LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1752794206.812250,587220.000,29796,3,AY,1,100,0.041
1752794206.852250,587260.000,29813,3,AY,1,100,0.031
1752794206.892250,587300.000,29813,3,AY,1,100,0.011
1752794206.932250,587340.000,29813,3,AY,1,100,0.025
1752794206.972250,587380.000,29830,2,AY,1,100,0.043
1752794207.012250,587420.000,29830,2,AY,1,100,0.043
1752794207.052250,587460.000,29846,3,AY,1,100,0.036
1752794207.092250,587500.000,29846,3,AY,1,100,0.031
1752794207.132251,587540.000,29846,3,AY,1,100,0.038
1752794207.172251,587580.000,29862,2,AY,1,100,0.037
1752794207.212251,587620.000,29862,2,AY,1,100,0.039
1752794207.252251,587660.000,29880,3,AY,1,100,0.039
1752794207.292251,587700.000,29880,3,AY,1,100,0.053
1752794207.332251,587740.000,29880,3,AY,1,100,0.053
1752794207.372251,587780.000,29897,2,AY,1,100,0.040
1752794207.412251,587820.000,29897,2,AY,1,100,0.032
1752794207.452251,587860.000,29914,3,AY,1,100,0.034
1752794207.492252,587900.000,29914,3,AY,1,100,0.040
1752794207.532252,587940.000,29914,3,AY,1,100,0.059
1752794207.567585,587975.333,29929,3,AY,1,100,0.054
1752794207.602919,588010.667,29929,3,AY,1,100,0.042
1752794207.638252,588046.000,29929,3,AY,1,100,0.019
1752794207.678252,588086.000,29945,2,AY,1,100,0.030
1752794207.718252,588126.000,29945,2,AY,1,100,0.032
1752794207.758252,588166.000,29962,3,AY,1,100,0.041
1752794207.798253,588206.000,29962,3,AY,1,100,0.049
1752794207.838253,588246.000,29962,3,AY,1,100,0.054
1752794207.878253,588286.000,29981,2,AY,1,100,0.050
1752794207.918253,588326.000,29981,2,AY,1,100,0.065
1752794207.958253,588366.000,29996,3,AY,1,100,0.051
1752794207.998253,588406.000,29996,3,AY,1,100,0.053
1752794208.038253,588446.000,29996,3,AY,1,100,0.052
1752794208.078253,588486.000,30012,2,AY,1,100,0.052
1752794208.118254,588526.000,30012,2,AY,1,100,0.067
1752794208.158254,588566.000,30030,3,AY,1,100,0.059
1752794208.198254,588606.000,30030,3,AY,1,100,0.038
1752794208.238254,588646.000,30030,3,AY,1,100,0.047
1752794208.278254,588686.000,30046,2,AY,1,100,0.052
1752794208.318254,588726.000,30046,2,AY,1,100,0.031
1752794208.357921,588765.667,30061,3,AY,1,100,0.062
1752794208.397588,588805.333,30061,3,AY,1,100,0.073
1752794208.437255,588845.000,30061,3,AY,1,100,0.078
1752794208.477588,588885.333,30078,3,AY,1,100,0.082
1752794208.517921,588925.667,30078,3,AY,1,100,0.069
1752794208.558255,588966.000,30078,3,AY,1,100,0.035
1752794208.597755,589005.500,30095,2,AY,1,100,0.046
1752794208.637255,589045.000,30095,2,AY,1,100,0.069
1752794208.677255,589085.000,30113,3,AY,1,100,0.073
1752794208.717255,589125.000,30113,3,AY,1,100,0.040
1752794208.757255,589165.000,30113,3,AY,1,100,-0.009
1752794208.797756,589205.500,30131,2,AY,1,100,-0.019
1752794208.838256,589246.000,30131,2,AY,1,100,0.003
1752794208.877923,589285.667,30147,3,AY,1,100,0.004
1752794208.917589,589325.333,30147,3,AY,1,100,0.031
1752794208.957256,589365.000,30147,3,AY,1,100,0.038
1752794208.997256,589405.000,30164,2,AY,1,100,0.052
1752794209.037256,589445.000,30164,2,AY,1,100,0.062
1752794209.077256,589485.000,30180,3,AY,1,100,0.075
1752794209.117257,589525.000,30180,3,AY,1,100,0.083
1752794209.157257,589565.000,30180,3,AY,1,100,0.048
1752794209.197257,589605.000,30198,2,AY,1,100,0.019
1752794209.237257,589645.000,30198,2,AY,1,100,-0.007
1752794209.277257,589685.000,30212,3,AY,1,100,-0.007
1752794209.317257,589725.000,30212,3,AY,1,100,0.002
1752794209.357257,589765.000,30212,3,AY,1,100,0.020
1752794209.397257,589805.000,30229,2,AY,1,100,0.041
1752794209.437258,589845.000,30229,2,AY,1,100,0.051
1752794209.477258,589885.000,30246,3,AY,1,100,0.097
1752794209.517258,589925.000,30246,3,AY,1,100,0.084
1752794209.557258,589965.000,30246,3,AY,1,100,0.092
1752794209.597258,590005.000,30263,2,AY,1,100,0.056
1752794209.637258,590045.000,30263,2,AY,1,100,0.044
1752794209.677258,590085.000,30277,3,AY,1,100,0.061
1752794209.717258,590125.000,30277,3,AY,1,100,0.106
1752794209.757259,590165.000,30277,3,AY,1,100,0.086
1752794209.797259,590205.000,30295,3,AY,1,100,0.041
1752794209.837259,590245.000,30295,3,AY,1,100,0.015
1752794209.877259,590285.000,30295,3,AY,1,100,0.022
1752794209.917259,590325.000,30311,2,AY,1,100,0.049
1752794209.957259,590365.000,30311,2,AY,1,100,0.064
1752794209.997259,590405.000,30328,3,AY,1,100,0.059
1752794210.037259,590445.000,30328,3,AY,1,100,0.081
1752794210.077260,590485.000,30328,3,AY,1,100,0.067
1752794210.117260,590525.000,30342,2,AY,1,100,0.013
1752794210.157260,590565.000,30342,2,AY,1,100,-0.038
1752794210.197260,590605.000,30360,3,AY,1,100,0.045
1752794210.237260,590645.000,30360,3,AY,1,100,0.080
