LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1752787780.867429,81831.000,10979,3,GX,1,100,-2.411
1752787780.907429,81871.000,10996,2,GX,1,100,-1.648
1752787780.947430,81911.000,10996,2,GX,1,100,-1.373
1752787780.987430,81951.000,11013,3,GX,1,100,-0.977
1752787781.027430,81991.000,11013,3,GX,1,100,0.000
1752787781.067431,82031.000,11013,3,GX,1,100,0.397
1752787781.107431,82071.000,11029,3,GX,1,100,0.793
1752787781.147431,82111.000,11029,3,GX,1,100,-0.031
1752787781.187432,82151.000,11029,3,GX,1,100,-0.793
1752787781.227432,82191.000,11053,2,GX,1,100,-1.038
1752787781.267432,82231.000,11053,2,GX,1,100,-1.526
1752787781.307433,82271.000,11072,3,GX,1,100,-1.404
1752787781.347433,82311.000,11072,3,GX,1,100,-1.343
1752787781.387433,82351.000,11072,3,GX,1,100,-0.671
1752787781.427434,82391.000,11089,2,GX,1,100,0.488
1752787781.467434,82431.000,11089,2,GX,1,100,0.824
1752787781.507434,82471.000,11105,3,GX,1,100,0.397
1752787781.547435,82511.000,11105,3,GX,1,100,0.854
1752787781.587435,82551.000,11105,3,GX,1,100,0.244
1752787781.627435,82591.000,11123,2,GX,1,100,-0.671
1752787781.667436,82631.000,11123,2,GX,1,100,0.244
1752787781.707436,82671.000,11139,3,GX,1,100,-0.549
1752787781.747436,82711.000,11139,3,GX,1,100,-0.916
1752787781.787437,82751.000,11139,3,GX,1,100,0.000
1752787781.827437,82791.000,11154,2,GX,1,100,1.312
1752787781.867437,82831.000,11154,2,GX,1,100,2.197
1752787781.907104,82870.667,11171,3,GX,1,100,1.923
1752787781.946771,82910.333,11171,3,GX,1,100,-0.580
1752787781.986438,82950.000,11171,3,GX,1,100,-3.082
1752787782.026939,82990.500,11190,2,GX,1,100,-2.075
1752787782.067439,83031.000,11190,2,GX,1,100,-0.946
1752787782.107439,83071.000,11206,3,GX,1,100,-0.397
1752787782.147440,83111.000,11206,3,GX,1,100,-0.854
1752787782.187440,83151.000,11206,3,GX,1,100,-1.648
1752787782.227440,83191.000,11222,2,GX,1,100,-2.625
1752787782.267441,83231.000,11222,2,GX,1,100,-2.045
1752787782.307441,83271.000,11238,3,GX,1,100,-2.014
1752787782.347441,83311.000,11238,3,GX,1,100,-2.869
1752787782.387442,83351.000,11238,3,GX,1,100,-4.700
1752787782.427442,83391.000,11255,3,GX,1,100,-4.944
1752787782.467442,83431.000,11255,3,GX,1,100,-3.143
1752787782.507443,83471.000,11255,3,GX,1,100,-1.617
1752787782.547443,83511.000,11273,2,GX,1,100,-0.183
1752787782.587443,83551.000,11273,2,GX,1,100,-0.427
1752787782.627444,83591.000,11291,3,GX,1,100,-1.740
1752787782.667444,83631.000,11291,3,GX,1,100,-1.404
1752787782.707444,83671.000,11291,3,GX,1,100,-0.885
1752787782.746945,83710.500,11307,2,GX,1,100,-1.007
1752787782.786445,83750.000,11307,2,GX,1,100,-1.373
1752787782.826779,83790.333,11324,3,GX,1,100,0.397
1752787782.867112,83830.667,11324,3,GX,1,100,0.793
1752787782.907446,83871.000,11324,3,GX,1,100,1.190
1752787782.946946,83910.500,11341,2,GX,1,100,0.366
1752787782.986447,83950.000,11341,2,GX,1,100,-0.153
1752787783.026780,83990.333,11358,3,GX,1,100,0.671
1752787783.067114,84030.667,11358,3,GX,1,100,3.204
1752787783.107448,84071.000,11358,3,GX,1,100,0.946
1752787783.146948,84110.500,11374,2,GX,1,100,-1.068
1752787783.186448,84150.000,11374,2,GX,1,100,-0.549
1752787783.226782,84190.333,11392,3,GX,1,100,-0.854
1752787783.267115,84230.667,11392,3,GX,1,100,-0.793
1752787783.307449,84271.000,11392,3,GX,1,100,-1.495
1752787783.346949,84310.500,11410,2,GX,1,100,-1.953
1752787783.386450,84350.000,11410,2,GX,1,100,-0.854
1752787783.426450,84390.000,11427,3,GX,1,100,0.122
1752787783.466450,84430.000,11427,3,GX,1,100,0.458
1752787783.506451,84470.000,11427,3,GX,1,100,0.214
1752787783.546451,84510.000,11441,2,GX,1,100,0.000
1752787783.586451,84550.000,11441,2,GX,1,100,0.275
1752787783.626452,84590.000,11461,3,GX,1,100,-0.092
1752787783.666452,84630.000,11461,3,GX,1,100,-0.824
1752787783.706452,84670.000,11461,3,GX,1,100,-1.251
1752787783.742453,84706.000,11477,3,GX,1,100,-1.617
1752787783.778453,84742.000,11477,3,GX,1,100,-2.319
1752787783.814453,84778.000,11477,3,GX,1,100,-2.594
1752787783.854454,84818.000,11496,2,GX,1,100,-2.869
1752787783.894454,84858.000,11496,2,GX,1,100,-2.350
1752787783.934454,84898.000,11513,3,GX,1,100,-1.068
1752787783.974455,84938.000,11513,3,GX,1,100,-0.549
1752787784.014455,84978.000,11513,3,GX,1,100,-0.397
1752787784.054455,85018.000,11530,2,GX,1,100,-1.190
1752787784.094456,85058.000,11530,2,GX,1,100,-1.282
1752787784.134456,85098.000,11546,3,GX,1,100,-1.343
1752787784.174456,85138.000,11546,3,GX,1,100,-0.763
1752787784.214457,85178.000,11546,3,GX,1,100,0.153
1752787784.254457,85218.000,11564,2,GX,1,100,0.183
1752787784.294457,85258.000,11564,2,GX,1,100,-0.061
1752787784.334458,85298.000,11578,3,GX,1,100,-0.092
1752787784.374458,85338.000,11578,3,GX,1,100,-0.732
1752787784.414458,85378.000,11578,3,GX,1,100,-1.312
1752787784.454459,85418.000,11597,3,GX,1,100,-1.190
1752787784.494459,85458.000,11597,3,GX,1,100,-0.244
1752787784.534459,85498.000,11597,3,GX,1,100,0.549
1752787784.574460,85538.000,11613,2,GX,1,100,0.641
1752787784.614460,85578.000,11613,2,GX,1,100,-0.122
1752787784.654460,85618.000,11633,3,GX,1,100,-0.519
1752787784.694461,85658.000,11633,3,GX,1,100,-0.183
1752787784.734461,85698.000,11633,3,GX,1,100,0.580
1752787784.774461,85738.000,11649,2,GX,1,100,0.946
1752787784.814462,85778.000,11649,2,GX,1,100,0.214
1752787784.854129,85817.667,11664,3,GX,1,100,0.061
1752787784.893796,85857.333,11664,3,GX,1,100,-0.397
1752787784.933463,85897.000,11664,3,GX,1,100,-0.641
1752787784.973463,85937.000,11681,2,GX,1,100,-1.740
1752787785.013463,85977.000,11681,2,GX,1,100,-2.960
1752787785.053464,86017.000,11700,3,GX,1,100,-2.411
1752787785.093464,86057.000,11700,3,GX,1,100,-1.770
1752787785.133464,86097.000,11700,3,GX,1,100,-1.343
1752787785.173465,86137.000,11718,2,GX,1,100,-1.251
1752787785.213465,86177.000,11718,2,GX,1,100,-1.495
1752787785.253465,86217.000,11734,3,GX,1,100,-0.977
1752787785.293466,86257.000,11734,3,GX,1,100,-0.061
1752787785.333466,86297.000,11734,3,GX,1,100,-0.031
1752787785.373466,86337.000,11750,3,GX,1,100,-0.427
1752787785.413467,86377.000,11750,3,GX,1,100,-0.092
1752787785.453467,86417.000,11750,3,GX,1,100,0.366
1752787785.493467,86457.000,11769,2,GX,1,100,0.763
1752787785.533468,86497.000,11769,2,GX,1,100,0.122
1752787785.573468,86537.000,11786,3,GX,1,100,-0.366
1752787785.613468,86577.000,11786,3,GX,1,100,-0.031
1752787785.653468,86617.000,11786,3,GX,1,100,0.305
1752787785.693469,86657.000,11803,2,GX,1,100,0.183
1752787785.733469,86697.000,11803,2,GX,1,100,0.214
1752787785.773469,86737.000,11819,3,GX,1,100,0.122
1752787785.813470,86777.000,11819,3,GX,1,100,-0.122
1752787785.853470,86817.000,11819,3,GX,1,100,-0.977
1752787785.893470,86857.000,11838,2,GX,1,100,-1.465
1752787785.933471,86897.000,11838,2,GX,1,100,-0.793
1752787785.973471,86937.000,11857,3,GX,1,100,0.336
1752787786.013471,86977.000,11857,3,GX,1,100,0.366
1752787786.053472,87017.000,11857,3,GX,1,100,-0.092
1752787786.093472,87057.000,11872,2,GX,1,100,-0.397
1752787786.133472,87097.000,11872,2,GX,1,100,-0.427
1752787786.173473,87137.000,11888,3,GX,1,100,0.061
1752787786.213473,87177.000,11888,3,GX,1,100,-0.275
1752787786.253473,87217.000,11888,3,GX,1,100,-0.397
1752787786.293474,87257.000,11911,2,GX,1,100,-0.641
1752787786.333474,87297.000,11911,2,GX,1,100,-0.824
1752787786.373474,87337.000,11929,3,GX,1,100,-0.488
1752787786.413475,87377.000,11929,3,GX,1,100,-0.275
1752787786.453475,87417.000,11929,3,GX,1,100,-0.214
1752787786.493475,87457.000,11946,2,GX,1,100,-0.824
1752787786.533476,87497.000,11946,2,GX,1,100,-1.404
1752787786.573476,87537.000,11965,3,GX,1,100,-1.251
1752787786.613476,87577.000,11965,3,GX,1,100,-0.854
1752787786.653477,87617.000,11965,3,GX,1,100,-0.702
1752787786.693477,87657.000,11982,2,GX,1,100,-0.732
1752787786.733477,87697.000,11982,2,GX,1,100,-0.641
1752787786.773478,87737.000,11998,3,GX,1,100,-0.427
1752787786.813478,87777.000,11998,3,GX,1,100,0.122
1752787786.853478,87817.000,11998,3,GX,1,100,0.702
1752787786.893479,87857.000,12014,2,GX,1,100,0.641
1752787786.933479,87897.000,12014,2,GX,1,100,-0.092
1752787786.973479,87937.000,12030,3,GX,1,100,-1.221
1752787787.013480,87977.000,12030,3,GX,1,100,-1.434
1752787787.053480,88017.000,12030,3,GX,1,100,-1.312
1752787787.093480,88057.000,12047,3,GX,1,100,-1.038
1752787787.133481,88097.000,12047,3,GX,1,100,-0.824
1752787787.173481,88137.000,12047,3,GX,1,100,-0.763
1752787787.213481,88177.000,12067,2,GX,1,100,-0.366
1752787787.253482,88217.000,12067,2,GX,1,100,0.183
1752787787.293482,88257.000,12085,3,GX,1,100,1.190
1752787787.333482,88297.000,12085,3,GX,1,100,1.709
1752787787.373483,88337.000,12085,3,GX,1,100,1.556
1752787787.413483,88377.000,12099,2,GX,1,100,0.519
1752787787.453483,88417.000,12099,2,GX,1,100,-0.793
1752787787.493484,88457.000,12116,3,GX,1,100,-1.709
1752787787.533484,88497.000,12116,3,GX,1,100,-1.526
1752787787.573484,88537.000,12116,3,GX,1,100,-0.732
1752787787.608818,88572.333,12133,3,GX,1,100,-0.641
1752787787.644152,88607.667,12133,3,GX,1,100,-1.617
1752787787.679485,88643.000,12133,3,GX,1,100,-2.594
1752787787.719486,88683.000,12152,2,GX,1,100,-0.854
1752787787.759486,88723.000,12152,2,GX,1,100,0.366
1752787787.799486,88763.000,12168,3,GX,1,100,0.641
1752787787.839487,88803.000,12168,3,GX,1,100,-1.465
1752787787.879487,88843.000,12168,3,GX,1,100,-3.082
1752787787.919487,88883.000,12186,2,GX,1,100,-1.709
1752787787.959487,88923.000,12186,2,GX,1,100,1.282
1752787787.999488,88963.000,12202,3,GX,1,100,2.197
1752787788.039488,89003.000,12202,3,GX,1,100,0.458
1752787788.079488,89043.000,12202,3,GX,1,100,-2.197
1752787788.119489,89083.000,12219,2,GX,1,100,-2.686
1752787788.159489,89123.000,12219,2,GX,1,100,-2.197
