LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1752701470.138922,746727.000,56348,1,BV,1,100,3.64
1752701475.138933,751727.000,57169,1,BV,1,100,3.64
1752701480.137943,756726.000,57976,1,BV,1,100,3.65
1752701485.137953,761726.000,58802,1,BV,1,100,3.64
1752701490.136963,766725.000,59624,1,BV,1,100,3.65
1752701495.136974,771725.000,60431,1,BV,1,100,3.65
1752701500.135984,776724.000,61257,1,BV,1,100,3.65
1752701505.135994,781724.000,62079,1,BV,1,100,3.65
1752701510.135004,786723.000,62886,1,BV,1,100,3.65
1752701515.135014,791723.000,63708,1,BV,1,100,3.65
1752701520.134025,796722.000,64532,1,BV,1,100,3.65
1752701525.134035,801722.000,65355,1,BV,1,100,3.65
1752701530.133045,806721.000,641,1,BV,1,100,3.65
1752701535.133055,811721.000,1461,1,BV,1,100,3.64
1752701540.132066,816720.000,2302,1,BV,1,100,3.65
1752701545.132076,821720.000,3123,1,BV,1,100,3.65
1752701550.131086,826719.000,3944,1,BV,1,100,3.65
1752701555.131096,831719.000,4765,1,BV,1,100,3.65
1752701560.130106,836718.000,5603,1,BV,1,100,3.65
1752701565.130117,841718.000,6426,1,BV,1,100,3.65
1752701570.129127,846717.000,7245,1,BV,1,100,3.65
1752701575.129137,851717.000,8085,1,BV,1,100,3.65
1752701580.128147,856716.000,8906,1,BV,1,100,3.65
1752701585.128158,861716.000,9729,1,BV,1,100,3.65
1752701590.127168,866715.000,10551,1,BV,1,100,3.65
1752701595.127178,871715.000,11373,1,BV,1,100,3.65
1752701600.126188,876714.000,12195,1,BV,1,100,3.65
1752701605.126198,881714.000,13033,1,BV,1,100,3.65
1752701610.125209,886713.000,13849,1,BV,1,100,3.65
1752701615.125219,891713.000,14653,1,BV,1,100,3.65
1752701620.124229,896712.000,15475,1,BV,1,100,3.65
1752701625.124239,901712.000,16300,1,BV,1,100,3.65
1752701630.123250,906711.000,17088,1,BV,1,100,3.65
1752701635.123260,911711.000,17907,1,BV,1,100,3.65
1752701640.122270,916710.000,18712,1,BV,1,100,3.65
1752701645.122280,921710.000,19552,1,BV,1,100,3.65
1752701650.121290,926709.000,20374,1,BV,1,100,3.65
1752701655.121301,931709.000,21197,1,BV,1,100,3.65
1752701660.120311,936708.000,22020,1,BV,1,100,3.65
1752701665.120321,941708.000,22844,1,BV,1,100,3.65
1752701670.119331,946707.000,23662,1,BV,1,100,3.65
1752701675.119342,951707.000,24504,1,BV,1,100,3.65
1752701680.118352,956706.000,25322,1,BV,1,100,3.65
1752701685.118362,961706.000,26145,1,BV,1,100,3.65
1752701690.117372,966705.000,26966,1,BV,1,100,3.65
1752701695.117382,971705.000,27787,1,BV,1,100,3.65
1752701700.116393,976704.000,28610,1,BV,1,100,3.65
1752701705.116403,981704.000,29448,1,BV,1,100,3.65
1752701710.115413,986703.000,30270,1,BV,1,100,3.65
1752701715.115423,991703.000,31093,1,BV,1,100,3.66
1752701720.114434,996702.000,31914,1,BV,1,100,3.66
1752701725.114444,1001702.000,32752,1,BV,1,100,3.65
