LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1752784459.855986,345169.000,54039,3,GX,1,100,-7.568
1752784459.895987,345209.000,54056,2,GX,1,100,-7.355
1752784459.935987,345249.000,54056,2,GX,1,100,-6.012
1752784459.975987,345289.000,54072,3,GX,1,100,-5.646
1752784460.015988,345329.000,54072,3,GX,1,100,-6.378
1752784460.055988,345369.000,54072,3,GX,1,100,-5.707
1752784460.095988,345409.000,54089,2,GX,1,100,-5.066
1752784460.135989,345449.000,54089,2,GX,1,100,-7.141
1752784460.175989,345489.000,54106,3,GX,1,100,-10.162
1752784460.215989,345529.000,54106,3,GX,1,100,-12.604
1752784460.255990,345569.000,54106,3,GX,1,100,-10.071
1752784460.295990,345609.000,54122,2,GX,1,100,-5.585
1752784460.335991,345649.000,54122,2,GX,1,100,-4.852
1752784460.375991,345689.000,54137,3,GX,1,100,-7.690
1752784460.415991,345729.000,54137,3,GX,1,100,-13.184
1752784460.455992,345769.000,54137,3,GX,1,100,-16.693
1752784460.495992,345809.000,54157,3,GX,1,100,-14.893
1752784460.535992,345849.000,54157,3,GX,1,100,-11.780
1752784460.575993,345889.000,54157,3,GX,1,100,-8.667
1752784460.615993,345929.000,54175,2,GX,1,100,-7.294
1752784460.655993,345969.000,54175,2,GX,1,100,-5.585
1752784460.695994,346009.000,54192,3,GX,1,100,-4.089
1752784460.735994,346049.000,54192,3,GX,1,100,-2.777
1752784460.775994,346089.000,54192,3,GX,1,100,-4.059
1752784460.815995,346129.000,54207,2,GX,1,100,-6.348
1752784460.855995,346169.000,54207,2,GX,1,100,-7.904
1752784460.895995,346209.000,54224,3,GX,1,100,-8.606
1752784460.935996,346249.000,54224,3,GX,1,100,-8.545
1752784460.975996,346289.000,54224,3,GX,1,100,-7.141
1752784461.015997,346329.000,54240,2,GX,1,100,-3.601
1752784461.055997,346369.000,54240,2,GX,1,100,-0.214
1752784461.095997,346409.000,54260,3,GX,1,100,0.793
1752784461.135998,346449.000,54260,3,GX,1,100,-0.580
1752784461.175998,346489.000,54260,3,GX,1,100,-2.289
1752784461.211665,346524.667,54276,3,GX,1,100,-3.387
1752784461.247332,346560.333,54276,3,GX,1,100,-2.441
1752784461.282999,346596.000,54276,3,GX,1,100,0.183
1752784461.322999,346636.000,54293,2,GX,1,100,0.580
1752784461.363000,346676.000,54293,2,GX,1,100,0.977
1752784461.403000,346716.000,54309,3,GX,1,100,0.519
1752784461.443000,346756.000,54309,3,GX,1,100,1.099
1752784461.483001,346796.000,54309,3,GX,1,100,0.885
