LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1752784457.855969,343169.000,53720,3,GZ,1,100,1.099
1752784457.895969,343209.000,53720,3,GZ,1,100,0.824
1752784457.935969,343249.000,53720,3,GZ,1,100,0.458
1752784457.975970,343289.000,53736,2,GZ,1,100,0.824
1752784458.015970,343329.000,53736,2,GZ,1,100,0.580
1752784458.055971,343369.000,53755,3,GZ,1,100,-0.122
1752784458.095971,343409.000,53755,3,GZ,1,100,-0.549
1752784458.135971,343449.000,53755,3,GZ,1,100,-0.031
1752784458.175972,343489.000,53771,2,GZ,1,100,0.793
1752784458.215972,343529.000,53771,2,GZ,1,100,0.458
1752784458.255972,343569.000,53787,3,GZ,1,100,-0.183
1752784458.295973,343609.000,53787,3,GZ,1,100,0.885
1752784458.335973,343649.000,53787,3,GZ,1,100,1.587
1752784458.375973,343689.000,53803,2,GZ,1,100,0.488
1752784458.415974,343729.000,53803,2,GZ,1,100,-0.305
1752784458.455974,343769.000,53821,3,GZ,1,100,0.397
1752784458.495974,343809.000,53821,3,GZ,1,100,0.427
1752784458.535975,343849.000,53821,3,GZ,1,100,0.336
1752784458.575975,343889.000,53837,2,GZ,1,100,-0.031
1752784458.615975,343929.000,53837,2,GZ,1,100,0.153
1752784458.655976,343969.000,53854,3,GZ,1,100,0.549
1752784458.695976,344009.000,53854,3,GZ,1,100,0.702
1752784458.735977,344049.000,53854,3,GZ,1,100,0.366
1752784458.775977,344089.000,53871,2,GZ,1,100,0.305
1752784458.815977,344129.000,53871,2,GZ,1,100,0.641
1752784458.855978,344169.000,53888,3,GZ,1,100,0.366
1752784458.895978,344209.000,53888,3,GZ,1,100,0.092
1752784458.935978,344249.000,53888,3,GZ,1,100,0.366
1752784458.975979,344289.000,53904,2,GZ,1,100,0.610
1752784459.015979,344329.000,53904,2,GZ,1,100,0.549
1752784459.055979,344369.000,53919,3,GZ,1,100,0.580
1752784459.095980,344409.000,53919,3,GZ,1,100,0.488
1752784459.135980,344449.000,53919,3,GZ,1,100,0.702
1752784459.175980,344489.000,53936,3,GZ,1,100,1.068
1752784459.215981,344529.000,53936,3,GZ,1,100,0.854
1752784459.255981,344569.000,53936,3,GZ,1,100,0.885
1752784459.295981,344609.000,53953,2,GZ,1,100,1.282
1752784459.335982,344649.000,53953,2,GZ,1,100,0.885
1752784459.375982,344689.000,53973,3,GZ,1,100,0.366
1752784459.415982,344729.000,53973,3,GZ,1,100,0.458
1752784459.455983,344769.000,53973,3,GZ,1,100,0.092
1752784459.495983,344809.000,53989,2,GZ,1,100,-0.183
1752784459.535984,344849.000,53989,2,GZ,1,100,0.244
1752784459.575984,344889.000,54005,3,GZ,1,100,0.702
1752784459.615984,344929.000,54005,3,GZ,1,100,0.275
1752784459.655985,344969.000,54005,3,GZ,1,100,0.336
1752784459.695985,345009.000,54022,2,GZ,1,100,0.275
1752784459.735985,345049.000,54022,2,GZ,1,100,0.458
1752784459.775986,345089.000,54041,3,GZ,1,100,-0.092
1752784459.815986,345129.000,54041,3,GZ,1,100,-1.129
1752784459.855986,345169.000,54041,3,GZ,1,100,-0.977
1752784459.895987,345209.000,54058,2,GZ,1,100,0.153
1752784459.935987,345249.000,54058,2,GZ,1,100,0.275
1752784459.975987,345289.000,54074,3,GZ,1,100,-0.244
1752784460.015988,345329.000,54074,3,GZ,1,100,-0.519
1752784460.055988,345369.000,54074,3,GZ,1,100,-0.641
1752784460.095988,345409.000,54091,2,GZ,1,100,-0.824
1752784460.135989,345449.000,54091,2,GZ,1,100,-1.068
1752784460.175989,345489.000,54108,3,GZ,1,100,-0.671
1752784460.215989,345529.000,54108,3,GZ,1,100,1.129
1752784460.255990,345569.000,54108,3,GZ,1,100,1.282
1752784460.295990,345609.000,54124,2,GZ,1,100,0.305
1752784460.335991,345649.000,54124,2,GZ,1,100,-0.519
1752784460.375991,345689.000,54139,3,GZ,1,100,-3.174
1752784460.415991,345729.000,54139,3,GZ,1,100,-4.822
1752784460.455992,345769.000,54139,3,GZ,1,100,-4.486
1752784460.495992,345809.000,54159,3,GZ,1,100,-3.632
1752784460.535992,345849.000,54159,3,GZ,1,100,-1.770
1752784460.575993,345889.000,54159,3,GZ,1,100,-0.610
1752784460.615993,345929.000,54177,2,GZ,1,100,1.465
1752784460.655993,345969.000,54177,2,GZ,1,100,2.197
1752784460.695994,346009.000,54194,3,GZ,1,100,2.716
1752784460.735994,346049.000,54194,3,GZ,1,100,1.465
1752784460.775994,346089.000,54194,3,GZ,1,100,-1.617
1752784460.815995,346129.000,54209,2,GZ,1,100,-2.838
1752784460.855995,346169.000,54209,2,GZ,1,100,-0.946
1752784460.895995,346209.000,54226,3,GZ,1,100,-0.244
1752784460.935996,346249.000,54226,3,GZ,1,100,-1.007
1752784460.975996,346289.000,54226,3,GZ,1,100,0.244
1752784461.015997,346329.000,54242,2,GZ,1,100,0.092
1752784461.055997,346369.000,54242,2,GZ,1,100,-1.526
1752784461.095997,346409.000,54262,3,GZ,1,100,-0.488
1752784461.135998,346449.000,54262,3,GZ,1,100,1.740
